threeday_yrmo,threeday_yr,year,dayofyear,vartemp2_C_0-4m
784,66,2015,197,14.9
785,66,2015,197,14.9
786,66,2015,197,14.9
787,66,2015,197,14.9
788,66,2015,197,14.9
789,66,2015,197,14.9
790,66,2015,197,14.9
791,66,2015,197,14.9
792,66,2015,197,14.9
793,67,2015,200,14.7
794,67,2015,200,14.7
795,67,2015,200,14.7
796,67,2015,200,14.7
797,67,2015,200,14.7
798,67,2015,200,14.7
799,67,2015,200,14.7
800,67,2015,200,14.7
801,67,2015,200,14.7
802,67,2015,200,14.7
803,67,2015,200,14.7
804,67,2015,200,14.7
805,68,2015,203,15.3
806,68,2015,203,15.3
807,68,2015,203,15.3
808,68,2015,203,15.3
809,68,2015,203,15.3
810,68,2015,203,15.3
811,68,2015,203,15.3
812,68,2015,203,15.3
813,68,2015,203,15.3
814,68,2015,203,15.3
815,68,2015,203,15.3
816,68,2015,203,15.3
817,69,2015,206,15.7
818,69,2015,206,15.7
819,69,2015,206,15.7
820,69,2015,206,15.7
821,69,2015,206,15.7
822,69,2015,206,15.7
823,69,2015,206,15.7
824,69,2015,206,15.7
825,69,2015,206,15.7
826,69,2015,206,15.7
827,69,2015,206,15.7
828,69,2015,206,15.7
829,70,2015,209,15.7
830,70,2015,209,15.7
831,70,2015,209,15.7
832,70,2015,209,15.7
833,70,2015,209,15.7
834,70,2015,209,15.7
835,70,2015,209,15.7
836,70,2015,209,15.7
837,70,2015,209,15.7
838,70,2015,209,15.7
839,70,2015,209,15.7
840,70,2015,209,15.7
841,71,2015,212,15.5
842,71,2015,212,15.5
843,71,2015,212,15.5
844,71,2015,212,15.5
845,71,2015,212,15.5
846,71,2015,212,15.5
847,71,2015,212,15.5
848,71,2015,212,15.5
849,71,2015,212,15.5
850,71,2015,212,15.5
851,71,2015,212,15.5
852,71,2015,212,15.5
853,72,2015,215,15.1
854,72,2015,215,15.1
855,72,2015,215,15.1
856,72,2015,215,15.1
857,72,2015,215,15.1
858,72,2015,215,15.1
859,72,2015,215,15.1
860,72,2015,215,15.1
861,72,2015,215,15.1
862,72,2015,215,15.1
863,72,2015,215,15.1
864,72,2015,215,15.1
865,73,2015,218,14.8
866,73,2015,218,14.8
867,73,2015,218,14.8
868,73,2015,218,14.8
869,73,2015,218,14.8
870,73,2015,218,14.8
871,73,2015,218,14.8
872,73,2015,218,14.8
873,73,2015,218,14.8
874,73,2015,218,14.8
875,73,2015,218,14.8
876,73,2015,218,14.8
877,74,2015,221,15.0
878,74,2015,221,15.0
879,74,2015,221,15.0
880,74,2015,221,15.0
881,74,2015,221,15.0
882,74,2015,221,15.0
883,74,2015,221,15.0
884,74,2015,221,15.0
885,74,2015,221,15.0
886,74,2015,221,15.0
887,74,2015,221,15.0
888,74,2015,221,15.0
889,75,2015,224,14.9
890,75,2015,224,14.9
891,75,2015,224,14.9
892,75,2015,224,14.9
893,75,2015,224,14.9
894,75,2015,224,14.9
895,75,2015,224,14.9
896,75,2015,224,14.9
897,75,2015,224,14.9
898,75,2015,224,14.9
899,75,2015,224,14.9
900,75,2015,224,14.9
901,76,2015,227,14.8
902,76,2015,227,14.8
903,76,2015,227,14.8
904,76,2015,227,14.8
905,76,2015,227,14.8
906,76,2015,227,14.8
907,76,2015,227,14.8
908,76,2015,227,14.8
909,76,2015,227,14.8
910,76,2015,227,14.8
911,76,2015,227,14.8
912,76,2015,227,14.8
913,77,2015,230,14.8
914,77,2015,230,14.8
915,77,2015,230,14.8
916,77,2015,230,14.8
917,77,2015,230,14.8
918,77,2015,230,14.8
919,77,2015,230,14.8
920,77,2015,230,14.8
921,77,2015,230,14.8
922,77,2015,230,14.8
923,77,2015,230,14.8
924,77,2015,230,14.8
925,78,2015,233,14.7
926,78,2015,233,14.7
927,78,2015,233,14.7
928,78,2015,233,14.7
929,78,2015,233,14.7
930,78,2015,233,14.7
931,78,2015,233,14.7
932,78,2015,233,14.7
933,78,2015,233,14.7
934,78,2015,233,14.7
935,78,2015,233,14.7
936,78,2015,233,14.7
937,79,2015,236,14.8
938,79,2015,236,14.8
939,79,2015,236,14.8
940,79,2015,236,14.8
941,79,2015,236,14.8
942,79,2015,236,14.8
943,79,2015,236,14.8
944,79,2015,236,14.8
945,79,2015,236,14.8
946,79,2015,236,14.8
947,79,2015,236,14.8
948,79,2015,236,14.8
949,80,2015,239,14.7
950,80,2015,239,14.7
951,80,2015,239,14.7
952,80,2015,239,14.7
953,80,2015,239,14.7
954,80,2015,239,14.7
955,80,2015,239,14.7
956,80,2015,239,14.7
957,80,2015,239,14.7
958,80,2015,239,14.7
959,80,2015,239,14.7
960,80,2015,239,14.7
961,81,2015,242,14.2
962,81,2015,242,14.2
963,81,2015,242,14.2
964,81,2015,242,14.2
965,81,2015,242,14.2
966,81,2015,242,14.2
967,81,2015,242,14.2
968,81,2015,242,14.2
969,81,2015,242,14.2
970,81,2015,242,14.2
971,81,2015,242,14.2
972,81,2015,242,14.2
973,82,2015,245,13.4
974,82,2015,245,13.4
975,82,2015,245,13.4
976,82,2015,245,13.4
977,82,2015,245,13.4
978,82,2015,245,13.4
979,82,2015,245,13.4
980,82,2015,245,13.4
981,82,2015,245,13.4
982,82,2015,245,13.4
983,82,2015,245,13.4
984,82,2015,245,13.4
985,83,2015,248,13.4
986,83,2015,248,13.4
987,83,2015,248,13.4
988,83,2015,248,13.4
989,83,2015,248,13.4
990,83,2015,248,13.4
991,83,2015,248,13.4
992,83,2015,248,13.4
993,83,2015,248,13.4
994,83,2015,248,13.4
995,83,2015,248,13.4
996,83,2015,248,13.4
997,84,2015,251,13.6
998,84,2015,251,13.6
999,84,2015,251,13.6
1000,84,2015,251,13.6
1001,84,2015,251,13.6
1002,84,2015,251,13.6
1003,84,2015,251,13.6
1004,84,2015,251,13.6
1005,84,2015,251,13.6
1006,84,2015,251,13.6
1007,84,2015,251,13.6
1008,84,2015,251,13.6
1009,85,2015,254,13.7
1010,85,2015,254,13.7
1011,85,2015,254,13.7
1012,85,2015,254,13.7
1013,85,2015,254,13.7
1014,85,2015,254,13.7
1015,85,2015,254,13.7
1016,85,2015,254,13.7
1017,85,2015,254,13.7
1018,85,2015,254,13.7
1019,85,2015,254,13.7
1020,85,2015,254,13.7
1021,86,2015,257,13.6
1022,86,2015,257,13.6
1023,86,2015,257,13.6
1024,86,2015,257,13.6
1025,86,2015,257,13.6
1026,86,2015,257,13.6
1027,86,2015,257,13.6
1028,86,2015,257,13.6
1029,86,2015,257,13.6
1030,86,2015,257,13.6
1031,86,2015,257,13.6
1032,86,2015,257,13.6
1033,87,2015,260,13.4
1034,87,2015,260,13.4
1035,87,2015,260,13.4
1036,87,2015,260,13.4
1037,87,2015,260,13.4
1038,87,2015,260,13.4
1039,87,2015,260,13.4
1040,87,2015,260,13.4
1041,87,2015,260,13.4
1042,87,2015,260,13.4
1043,87,2015,260,13.4
1044,87,2015,260,13.4
1045,88,2015,263,13.2
1046,88,2015,263,13.2
1047,88,2015,263,13.2
1048,88,2015,263,13.2
1049,88,2015,263,13.2
1050,88,2015,263,13.2
1051,88,2015,263,13.2
1052,88,2015,263,13.2
1053,88,2015,263,13.2
1054,88,2015,263,13.2
1055,88,2015,263,13.2
1056,88,2015,263,13.2
1057,89,2015,266,13.1
1058,89,2015,266,13.1
1059,89,2015,266,13.1
1060,89,2015,266,13.1
