threeday_yrmo,threeday_yr,year,dayofyear,varupwelZ1_mmsec_4-12mAvg
470,40,2015,119,7e-05
471,40,2015,119,7e-05
472,40,2015,119,7e-05
473,40,2015,119,7e-05
474,40,2015,119,7e-05
475,40,2015,119,7e-05
476,40,2015,119,7e-05
477,40,2015,119,7e-05
478,40,2015,119,7e-05
479,40,2015,119,7e-05
480,40,2015,119,7e-05
481,41,2015,122,6e-05
482,41,2015,122,6e-05
483,41,2015,122,6e-05
484,41,2015,122,6e-05
485,41,2015,122,6e-05
486,41,2015,122,6e-05
487,41,2015,122,6e-05
488,41,2015,122,6e-05
489,41,2015,122,6e-05
490,41,2015,122,6e-05
491,41,2015,122,6e-05
492,41,2015,122,6e-05
493,42,2015,125,2e-05
494,42,2015,125,2e-05
495,42,2015,125,2e-05
496,42,2015,125,2e-05
497,42,2015,125,2e-05
498,42,2015,125,2e-05
499,42,2015,125,2e-05
500,42,2015,125,2e-05
501,42,2015,125,2e-05
502,42,2015,125,2e-05
503,42,2015,125,2e-05
504,42,2015,125,2e-05
505,43,2015,128,1e-05
506,43,2015,128,1e-05
507,43,2015,128,1e-05
508,43,2015,128,1e-05
509,43,2015,128,1e-05
510,43,2015,128,1e-05
511,43,2015,128,1e-05
512,43,2015,128,1e-05
513,43,2015,128,1e-05
514,43,2015,128,1e-05
515,43,2015,128,1e-05
516,43,2015,128,1e-05
517,44,2015,131,6e-05
518,44,2015,131,6e-05
519,44,2015,131,6e-05
520,44,2015,131,6e-05
521,44,2015,131,6e-05
522,44,2015,131,6e-05
523,44,2015,131,6e-05
524,44,2015,131,6e-05
525,44,2015,131,6e-05
526,44,2015,131,6e-05
527,44,2015,131,6e-05
528,44,2015,131,6e-05
529,45,2015,134,9e-05
530,45,2015,134,9e-05
531,45,2015,134,9e-05
532,45,2015,134,9e-05
533,45,2015,134,9e-05
534,45,2015,134,9e-05
535,45,2015,134,9e-05
536,45,2015,134,9e-05
537,45,2015,134,9e-05
538,45,2015,134,9e-05
539,45,2015,134,9e-05
540,45,2015,134,9e-05
541,46,2015,137,3e-05
542,46,2015,137,3e-05
543,46,2015,137,3e-05
544,46,2015,137,3e-05
545,46,2015,137,3e-05
546,46,2015,137,3e-05
547,46,2015,137,3e-05
548,46,2015,137,3e-05
549,46,2015,137,3e-05
550,46,2015,137,3e-05
551,46,2015,137,3e-05
552,46,2015,137,3e-05
553,47,2015,140,1e-05
554,47,2015,140,1e-05
555,47,2015,140,1e-05
556,47,2015,140,1e-05
557,47,2015,140,1e-05
558,47,2015,140,1e-05
559,47,2015,140,1e-05
560,47,2015,140,1e-05
561,47,2015,140,1e-05
562,47,2015,140,1e-05
563,47,2015,140,1e-05
564,47,2015,140,1e-05
565,48,2015,143,3e-05
566,48,2015,143,3e-05
567,48,2015,143,3e-05
568,48,2015,143,3e-05
569,48,2015,143,3e-05
570,48,2015,143,3e-05
571,48,2015,143,3e-05
572,48,2015,143,3e-05
573,48,2015,143,3e-05
574,48,2015,143,3e-05
575,48,2015,143,3e-05
576,48,2015,143,3e-05
577,49,2015,146,8e-05
578,49,2015,146,8e-05
579,49,2015,146,8e-05
580,49,2015,146,8e-05
581,49,2015,146,8e-05
582,49,2015,146,8e-05
583,49,2015,146,8e-05
584,49,2015,146,8e-05
585,49,2015,146,8e-05
586,49,2015,146,8e-05
587,49,2015,146,8e-05
588,49,2015,146,8e-05
589,50,2015,149,8e-05
590,50,2015,149,8e-05
591,50,2015,149,8e-05
592,50,2015,149,8e-05
593,50,2015,149,8e-05
594,50,2015,149,8e-05
595,50,2015,149,8e-05
596,50,2015,149,8e-05
597,50,2015,149,8e-05
598,50,2015,149,8e-05
599,50,2015,149,8e-05
600,50,2015,149,8e-05
601,51,2015,152,5e-05
602,51,2015,152,5e-05
603,51,2015,152,5e-05
604,51,2015,152,5e-05
605,51,2015,152,5e-05
606,51,2015,152,5e-05
607,51,2015,152,5e-05
608,51,2015,152,5e-05
609,51,2015,152,5e-05
610,51,2015,152,5e-05
611,51,2015,152,5e-05
612,51,2015,152,5e-05
613,52,2015,155,1e-05
614,52,2015,155,1e-05
615,52,2015,155,1e-05
616,52,2015,155,1e-05
617,52,2015,155,1e-05
618,52,2015,155,1e-05
619,52,2015,155,1e-05
620,52,2015,155,1e-05
621,52,2015,155,1e-05
622,52,2015,155,1e-05
623,52,2015,155,1e-05
624,52,2015,155,1e-05
625,53,2015,158,4e-05
626,53,2015,158,4e-05
627,53,2015,158,4e-05
628,53,2015,158,4e-05
629,53,2015,158,4e-05
630,53,2015,158,4e-05
631,53,2015,158,4e-05
632,53,2015,158,4e-05
633,53,2015,158,4e-05
634,53,2015,158,4e-05
635,53,2015,158,4e-05
636,53,2015,158,4e-05
637,54,2015,161,1e-04
638,54,2015,161,1e-04
639,54,2015,161,1e-04
640,54,2015,161,1e-04
641,54,2015,161,1e-04
642,54,2015,161,1e-04
643,54,2015,161,1e-04
644,54,2015,161,1e-04
645,54,2015,161,1e-04
646,54,2015,161,1e-04
647,54,2015,161,1e-04
648,54,2015,161,1e-04
649,55,2015,164,0.00011
650,55,2015,164,0.00011
651,55,2015,164,0.00011
652,55,2015,164,0.00011
653,55,2015,164,0.00011
654,55,2015,164,0.00011
655,55,2015,164,0.00011
656,55,2015,164,0.00011
657,55,2015,164,0.00011
658,55,2015,164,0.00011
659,55,2015,164,0.00011
660,55,2015,164,0.00011
661,56,2015,167,5e-05
662,56,2015,167,5e-05
663,56,2015,167,5e-05
664,56,2015,167,5e-05
665,56,2015,167,5e-05
666,56,2015,167,5e-05
667,56,2015,167,5e-05
668,56,2015,167,5e-05
669,56,2015,167,5e-05
670,56,2015,167,5e-05
671,56,2015,167,5e-05
672,56,2015,167,5e-05
673,57,2015,170,3e-05
674,57,2015,170,3e-05
675,57,2015,170,3e-05
676,57,2015,170,3e-05
