threeday_yrmo,threeday_yr,year,dayofyear,varadvecX2_cmsec_0-40mAvg
534,45,2015,134,-0.004
535,45,2015,134,-0.004
536,45,2015,134,-0.004
537,45,2015,134,-0.004
538,45,2015,134,-0.004
539,45,2015,134,-0.004
540,45,2015,134,-0.004
541,46,2015,137,-0.007
542,46,2015,137,-0.007
543,46,2015,137,-0.007
544,46,2015,137,-0.007
545,46,2015,137,-0.007
546,46,2015,137,-0.007
547,46,2015,137,-0.007
548,46,2015,137,-0.007
549,46,2015,137,-0.007
550,46,2015,137,-0.007
551,46,2015,137,-0.007
552,46,2015,137,-0.007
553,47,2015,140,-0.008
554,47,2015,140,-0.008
555,47,2015,140,-0.008
556,47,2015,140,-0.008
557,47,2015,140,-0.008
558,47,2015,140,-0.008
559,47,2015,140,-0.008
560,47,2015,140,-0.008
561,47,2015,140,-0.008
562,47,2015,140,-0.008
563,47,2015,140,-0.008
564,47,2015,140,-0.008
565,48,2015,143,-0.006
566,48,2015,143,-0.006
567,48,2015,143,-0.006
568,48,2015,143,-0.006
569,48,2015,143,-0.006
570,48,2015,143,-0.006
571,48,2015,143,-0.006
572,48,2015,143,-0.006
573,48,2015,143,-0.006
574,48,2015,143,-0.006
575,48,2015,143,-0.006
576,48,2015,143,-0.006
577,49,2015,146,-0.007
578,49,2015,146,-0.007
579,49,2015,146,-0.007
580,49,2015,146,-0.007
581,49,2015,146,-0.007
582,49,2015,146,-0.007
583,49,2015,146,-0.007
584,49,2015,146,-0.007
585,49,2015,146,-0.007
586,49,2015,146,-0.007
587,49,2015,146,-0.007
588,49,2015,146,-0.007
589,50,2015,149,-0.008
590,50,2015,149,-0.008
591,50,2015,149,-0.008
592,50,2015,149,-0.008
593,50,2015,149,-0.008
594,50,2015,149,-0.008
595,50,2015,149,-0.008
596,50,2015,149,-0.008
597,50,2015,149,-0.008
598,50,2015,149,-0.008
599,50,2015,149,-0.008
600,50,2015,149,-0.008
601,51,2015,152,-0.008
602,51,2015,152,-0.008
603,51,2015,152,-0.008
604,51,2015,152,-0.008
605,51,2015,152,-0.008
606,51,2015,152,-0.008
607,51,2015,152,-0.008
608,51,2015,152,-0.008
609,51,2015,152,-0.008
610,51,2015,152,-0.008
611,51,2015,152,-0.008
612,51,2015,152,-0.008
613,52,2015,155,-0.01
614,52,2015,155,-0.01
615,52,2015,155,-0.01
616,52,2015,155,-0.01
617,52,2015,155,-0.01
618,52,2015,155,-0.01
619,52,2015,155,-0.01
620,52,2015,155,-0.01
621,52,2015,155,-0.01
622,52,2015,155,-0.01
623,52,2015,155,-0.01
624,52,2015,155,-0.01
625,53,2015,158,-0.008
626,53,2015,158,-0.008
627,53,2015,158,-0.008
628,53,2015,158,-0.008
629,53,2015,158,-0.008
630,53,2015,158,-0.008
631,53,2015,158,-0.008
632,53,2015,158,-0.008
633,53,2015,158,-0.008
634,53,2015,158,-0.008
635,53,2015,158,-0.008
636,53,2015,158,-0.008
637,54,2015,161,-0.005
638,54,2015,161,-0.005
639,54,2015,161,-0.005
640,54,2015,161,-0.005
641,54,2015,161,-0.005
642,54,2015,161,-0.005
643,54,2015,161,-0.005
644,54,2015,161,-0.005
645,54,2015,161,-0.005
646,54,2015,161,-0.005
647,54,2015,161,-0.005
648,54,2015,161,-0.005
649,55,2015,164,-0.008
650,55,2015,164,-0.008
651,55,2015,164,-0.008
652,55,2015,164,-0.008
653,55,2015,164,-0.008
654,55,2015,164,-0.008
655,55,2015,164,-0.008
656,55,2015,164,-0.008
657,55,2015,164,-0.008
