threeday_yrmo,threeday_yr,year,dayofyear,varp10_varmixing_m
575,575,1982,284,10.0
576,576,1982,287,10.0
577,577,1982,290,10.0
578,578,1982,293,10.0
579,579,1982,296,10.0
580,580,1982,299,10.0
581,581,1982,302,10.0
582,582,1982,305,10.0
583,583,1982,308,10.0
584,584,1982,311,10.0
585,585,1982,314,10.0
586,586,1982,317,10.0
587,587,1982,320,10.0
588,588,1982,323,10.0
589,589,1982,326,10.0
590,590,1982,329,10.0
591,591,1982,332,10.0
592,592,1982,335,10.0
593,593,1982,338,10.0
594,594,1982,341,10.0
595,595,1982,344,10.0
596,596,1982,347,10.0
597,597,1982,350,10.0
598,598,1982,353,10.0
599,599,1982,356,10.0
600,600,1982,360,10.0
601,601,1983,2,10.0
602,602,1983,5,10.0
603,603,1983,8,10.0
604,604,1983,11,10.0
605,605,1983,14,10.0
606,606,1983,17,10.0
607,607,1983,20,10.0
608,608,1983,23,10.0
609,609,1983,26,10.0
610,610,1983,29,10.0
611,611,1983,32,10.0
612,612,1983,35,10.0
613,613,1983,38,10.0
614,614,1983,41,10.0
615,615,1983,44,10.0
616,616,1983,47,10.0
617,617,1983,50,10.0
618,618,1983,53,10.0
619,619,1983,56,10.0
620,620,1983,59,10.0
621,621,1983,62,10.0
622,622,1983,65,10.0
623,623,1983,68,10.0
624,624,1983,71,10.0
625,625,1983,74,10.0
626,626,1983,77,10.0
627,627,1983,80,10.0
628,628,1983,83,10.0
629,629,1983,86,10.0
630,630,1983,89,10.0
631,631,1983,92,10.0
632,632,1983,95,10.0
633,633,1983,98,10.0
634,634,1983,101,10.0
635,635,1983,104,10.0
636,636,1983,107,10.0
637,637,1983,110,10.0
638,638,1983,113,10.0
639,639,1983,116,10.0
640,640,1983,119,10.0
641,641,1983,122,10.0
642,642,1983,125,10.0
643,643,1983,128,10.0
644,644,1983,131,10.0
645,645,1983,134,10.0
646,646,1983,137,10.0
647,647,1983,140,10.0
648,648,1983,143,10.0
649,649,1983,146,10.0
650,650,1983,149,10.0
651,651,1983,152,10.0
652,652,1983,155,10.0
653,653,1983,158,10.0
654,654,1983,161,10.0
655,655,1983,164,10.0
656,656,1983,167,10.0
657,657,1983,170,10.0
658,658,1983,173,10.0
659,659,1983,176,10.0
660,660,1983,179,10.0
661,661,1983,182,10.0
662,662,1983,185,10.0
663,663,1983,188,10.0
664,664,1983,191,10.0
665,665,1983,194,10.0
666,666,1983,197,10.0
667,667,1983,200,10.0
668,668,1983,203,10.0
669,669,1983,206,10.0
670,670,1983,209,10.0
671,671,1983,212,10.0
672,672,1983,215,10.0
673,673,1983,218,10.0
674,674,1983,221,10.0
675,675,1983,224,10.0
676,676,1983,227,10.0
677,677,1983,230,10.0
678,678,1983,233,10.0
679,679,1983,236,10.0
680,680,1983,239,10.0
681,681,1983,242,10.0
682,682,1983,245,10.0
683,683,1983,248,10.0
684,684,1983,251,10.0
685,685,1983,254,10.0
686,686,1983,257,10.0
687,687,1983,260,10.0
688,688,1983,263,10.0
689,689,1983,266,10.0
690,690,1983,269,10.0
691,691,1983,272,10.0
692,692,1983,275,10.0
693,693,1983,278,10.0
694,694,1983,281,10.0
695,695,1983,284,10.0
696,696,1983,287,10.0
697,697,1983,290,10.0
698,698,1983,293,10.0
699,699,1983,296,10.0
700,700,1983,299,10.0
701,701,1983,302,10.0
702,702,1983,305,10.0
703,703,1983,308,10.0
704,704,1983,311,10.0
705,705,1983,314,10.0
706,706,1983,317,10.0
707,707,1983,320,10.0
708,708,1983,323,10.0
709,709,1983,326,10.0
710,710,1983,329,10.0
711,711,1983,332,10.0
712,712,1983,335,10.0
713,713,1983,338,10.0
714,714,1983,341,10.0
715,715,1983,344,10.0
716,716,1983,347,10.0
717,717,1983,350,10.0
718,718,1983,353,10.0
719,719,1983,356,10.0
720,720,1983,360,10.0
721,721,1984,2,10.0
722,722,1984,5,10.0
723,723,1984,8,10.0
724,724,1984,11,10.0
725,725,1984,14,10.0
726,726,1984,17,10.0
727,727,1984,20,10.0
728,728,1984,23,10.0
729,729,1984,26,10.0
730,730,1984,29,10.0
731,731,1984,32,10.0
732,732,1984,35,10.0
733,733,1984,38,10.0
734,734,1984,41,10.0
735,735,1984,44,10.0
736,736,1984,47,10.0
737,737,1984,50,10.0
738,738,1984,53,10.0
739,739,1984,56,10.0
740,740,1984,59,10.0
741,741,1984,62,10.0
742,742,1984,65,10.0
743,743,1984,68,10.0
744,744,1984,71,10.0
745,745,1984,74,10.0
746,746,1984,77,10.0
747,747,1984,80,10.0
748,748,1984,83,10.0
749,749,1984,86,10.0
750,750,1984,89,10.0
751,751,1984,92,10.0
752,752,1984,95,10.0
753,753,1984,98,10.0
754,754,1984,101,10.0
755,755,1984,104,10.0
756,756,1984,107,10.0
757,757,1984,110,10.0
758,758,1984,113,10.0
759,759,1984,116,10.0
760,760,1984,119,10.0
761,761,1984,122,10.0
762,762,1984,125,10.0
763,763,1984,128,10.0
764,764,1984,131,10.0
765,765,1984,134,10.0
766,766,1984,137,10.0
767,767,1984,140,10.0
768,768,1984,143,10.0
769,769,1984,146,10.0
770,770,1984,149,10.0
771,771,1984,152,10.0
772,772,1984,155,10.0
773,773,1984,158,10.0
774,774,1984,161,10.0
775,775,1984,164,10.0
776,776,1984,167,10.0
777,777,1984,170,10.0
778,778,1984,173,10.0
779,779,1984,176,10.0
780,780,1984,179,10.0
781,781,1984,182,10.0
782,782,1984,185,10.0
783,783,1984,188,10.0
784,784,1984,191,10.0
785,785,1984,194,10.0
786,786,1984,197,10.0
787,787,1984,200,10.0
788,788,1984,203,10.0
789,789,1984,206,10.0
790,790,1984,209,10.0
791,791,1984,212,10.0
792,792,1984,215,10.0
793,793,1984,218,10.0
794,794,1984,221,10.0
795,795,1984,224,10.0
796,796,1984,227,10.0
797,797,1984,230,10.0
798,798,1984,233,10.0
799,799,1984,236,10.0
800,800,1984,239,10.0
801,801,1984,242,10.0
802,802,1984,245,10.0
803,803,1984,248,10.0
804,804,1984,251,10.0
805,805,1984,254,10.0
806,806,1984,257,10.0
807,807,1984,260,10.0
808,808,1984,263,10.0
809,809,1984,266,10.0
810,810,1984,269,10.0
811,811,1984,272,10.0
812,812,1984,275,10.0
813,813,1984,278,10.0
814,814,1984,281,10.0
815,815,1984,284,10.0
816,816,1984,287,10.0
817,817,1984,290,10.0
818,818,1984,293,10.0
819,819,1984,296,10.0
820,820,1984,299,10.0
821,821,1984,302,10.0
822,822,1984,305,10.0
823,823,1984,308,10.0
824,824,1984,311,10.0
825,825,1984,314,10.0
826,826,1984,317,10.0
827,827,1984,320,10.0
828,828,1984,323,10.0
829,829,1984,326,10.0
830,830,1984,329,10.0
831,831,1984,332,10.0
832,832,1984,335,10.0
833,833,1984,338,10.0
834,834,1984,341,10.0
835,835,1984,344,10.0
836,836,1984,347,10.0
837,837,1984,350,10.0
838,838,1984,353,10.0
839,839,1984,356,10.0
840,840,1984,361,10.0
841,841,1985,2,10.0
842,842,1985,5,10.0
843,843,1985,8,10.0
844,844,1985,11,10.0
845,845,1985,14,10.0
846,846,1985,17,10.0
847,847,1985,20,10.0
848,848,1985,23,10.0
849,849,1985,26,10.0
850,850,1985,29,10.0
851,851,1985,32,10.0
852,852,1985,35,10.0
853,853,1985,38,10.0
854,854,1985,41,10.0
855,855,1985,44,10.0
856,856,1985,47,10.0
857,857,1985,50,10.0
858,858,1985,53,10.0
859,859,1985,56,10.0
860,860,1985,59,10.0
861,861,1985,62,10.0
862,862,1985,65,10.0
863,863,1985,68,10.0
864,864,1985,71,10.0
865,865,1985,74,10.0
866,866,1985,77,10.0
867,867,1985,80,10.0
868,868,1985,83,10.0
869,869,1985,86,10.0
870,870,1985,89,10.0
871,871,1985,92,10.0
872,872,1985,95,10.0
873,873,1985,98,10.0
874,874,1985,101,10.0
875,875,1985,104,10.0
876,876,1985,107,10.0
877,877,1985,110,10.0
878,878,1985,113,10.0
879,879,1985,116,10.0
880,880,1985,119,10.0
881,881,1985,122,10.0
882,882,1985,125,10.0
883,883,1985,128,10.0
884,884,1985,131,10.0
885,885,1985,134,10.0
886,886,1985,137,10.0
887,887,1985,140,10.0
888,888,1985,143,10.0
889,889,1985,146,10.0
890,890,1985,149,10.0
891,891,1985,152,10.0
892,892,1985,155,10.0
893,893,1985,158,10.0
894,894,1985,161,10.0
895,895,1985,164,10.0
896,896,1985,167,10.0
897,897,1985,170,10.0
898,898,1985,173,10.0
899,899,1985,176,10.0
900,900,1985,179,10.0
901,901,1985,182,10.0
902,902,1985,185,10.0
903,903,1985,188,10.0
904,904,1985,191,10.0
905,905,1985,194,10.0
906,906,1985,197,10.0
907,907,1985,200,10.0
908,908,1985,203,10.0
909,909,1985,206,10.0
910,910,1985,209,10.0
911,911,1985,212,10.0
912,912,1985,215,10.0
913,913,1985,218,10.0
914,914,1985,221,10.0
915,915,1985,224,10.0
916,916,1985,227,10.0
917,917,1985,230,10.0
918,918,1985,233,10.0
919,919,1985,236,10.0
920,920,1985,239,10.0
921,921,1985,242,10.0
922,922,1985,245,10.0
923,923,1985,248,10.0
924,924,1985,251,10.0
925,925,1985,254,10.0
926,926,1985,257,10.0
927,927,1985,260,10.0
928,928,1985,263,10.0
929,929,1985,266,10.0
930,930,1985,269,10.0
931,931,1985,272,10.0
932,932,1985,275,10.0
933,933,1985,278,10.0
934,934,1985,281,10.0
935,935,1985,284,10.0
936,936,1985,287,10.0
937,937,1985,290,10.0
938,938,1985,293,10.0
939,939,1985,296,10.0
940,940,1985,299,10.0
941,941,1985,302,10.0
942,942,1985,305,10.0
943,943,1985,308,10.0
944,944,1985,311,10.0
945,945,1985,314,10.0
946,946,1985,317,10.0
947,947,1985,320,10.0
948,948,1985,323,10.0
949,949,1985,326,10.0
950,950,1985,329,10.0
951,951,1985,332,10.0
952,952,1985,335,10.0
953,953,1985,338,10.0
954,954,1985,341,10.0
955,955,1985,344,10.0
956,956,1985,347,10.0
957,957,1985,350,10.0
958,958,1985,353,10.0
959,959,1985,356,10.0
960,960,1985,360,10.0
961,961,1986,2,10.0
962,962,1986,5,10.0
963,963,1986,8,10.0
964,964,1986,11,10.0
965,965,1986,14,10.0
966,966,1986,17,10.0
967,967,1986,20,10.0
968,968,1986,23,10.0
969,969,1986,26,10.0
970,970,1986,29,10.0
971,971,1986,32,10.0
972,972,1986,35,10.0
973,973,1986,38,10.0
974,974,1986,41,10.0
975,975,1986,44,10.0
976,976,1986,47,10.0
977,977,1986,50,10.0
978,978,1986,53,10.0
979,979,1986,56,10.0
980,980,1986,59,10.0
981,981,1986,62,10.0
982,982,1986,65,10.0
983,983,1986,68,10.0
984,984,1986,71,10.0
985,985,1986,74,10.0
986,986,1986,77,10.0
987,987,1986,80,10.0
988,988,1986,83,10.0
989,989,1986,86,10.0
990,990,1986,89,10.0
991,991,1986,92,10.0
992,992,1986,95,10.0
993,993,1986,98,10.0
994,994,1986,101,10.0
995,995,1986,104,10.0
996,996,1986,107,10.0
997,997,1986,110,10.0
998,998,1986,113,10.0
999,999,1986,116,10.0
1000,1000,1986,119,10.0
1001,1001,1986,122,10.0
1002,1002,1986,125,10.0
1003,1003,1986,128,10.0
1004,1004,1986,131,10.0
1005,1005,1986,134,10.0
1006,1006,1986,137,10.0
1007,1007,1986,140,10.0
1008,1008,1986,143,10.0
1009,1009,1986,146,10.0
1010,1010,1986,149,10.0
1011,1011,1986,152,10.0
1012,1012,1986,155,10.0
1013,1013,1986,158,10.0
1014,1014,1986,161,10.0
1015,1015,1986,164,10.0
1016,1016,1986,167,10.0
1017,1017,1986,170,10.0
1018,1018,1986,173,10.0
1019,1019,1986,176,10.0
1020,1020,1986,179,10.0
1021,1021,1986,182,10.0
1022,1022,1986,185,10.0
1023,1023,1986,188,10.0
1024,1024,1986,191,10.0
1025,1025,1986,194,10.0
1026,1026,1986,197,10.0
1027,1027,1986,200,10.0
1028,1028,1986,203,10.0
1029,1029,1986,206,10.0
1030,1030,1986,209,10.0
1031,1031,1986,212,10.0
1032,1032,1986,215,10.0
1033,1033,1986,218,10.0
1034,1034,1986,221,10.0
1035,1035,1986,224,10.0
1036,1036,1986,227,10.0
1037,1037,1986,230,10.0
1038,1038,1986,233,10.0
1039,1039,1986,236,10.0
1040,1040,1986,239,10.0
1041,1041,1986,242,10.0
1042,1042,1986,245,10.0
1043,1043,1986,248,10.0
1044,1044,1986,251,10.0
1045,1045,1986,254,10.0
1046,1046,1986,257,10.0
1047,1047,1986,260,10.0
1048,1048,1986,263,10.0
1049,1049,1986,266,10.0
1050,1050,1986,269,10.0
1051,1051,1986,272,10.0
1052,1052,1986,275,10.0
1053,1053,1986,278,10.0
1054,1054,1986,281,10.0
1055,1055,1986,284,10.0
1056,1056,1986,287,10.0
1057,1057,1986,290,10.0
