threeday_yrmo,threeday_yr,year,dayofyear,varvarsalt1_PSU_0-10mAvg
618,618,1983,53,27.2
619,619,1983,56,27.0
620,620,1983,59,26.9
621,621,1983,62,27.0
622,622,1983,65,27.0
623,623,1983,68,27.0
624,624,1983,71,27.1
625,625,1983,74,27.3
626,626,1983,77,27.0
627,627,1983,80,26.8
628,628,1983,83,26.8
629,629,1983,86,27.0
630,630,1983,89,27.3
631,631,1983,92,27.3
632,632,1983,95,27.0
633,633,1983,98,26.7
634,634,1983,101,26.7
635,635,1983,104,26.8
636,636,1983,107,26.8
637,637,1983,110,26.9
638,638,1983,113,26.8
639,639,1983,116,26.9
640,640,1983,119,26.8
641,641,1983,122,26.6
642,642,1983,125,26.3
643,643,1983,128,26.1
644,644,1983,131,25.7
645,645,1983,134,25.5
646,646,1983,137,25.6
647,647,1983,140,25.5
648,648,1983,143,25.5
649,649,1983,146,25.6
650,650,1983,149,25.4
651,651,1983,152,25.3
652,652,1983,155,24.8
653,653,1983,158,24.2
654,654,1983,161,24.3
655,655,1983,164,24.3
656,656,1983,167,23.9
657,657,1983,170,23.6
658,658,1983,173,23.3
659,659,1983,176,23.3
660,660,1983,179,23.2
661,661,1983,182,23.2
662,662,1983,185,23.1
663,663,1983,188,23.0
664,664,1983,191,23.2
665,665,1983,194,23.8
666,666,1983,197,23.6
667,667,1983,200,23.1
668,668,1983,203,23.3
669,669,1983,206,23.3
670,670,1983,209,23.6
671,671,1983,212,23.4
672,672,1983,215,23.3
673,673,1983,218,23.5
674,674,1983,221,24.1
675,675,1983,224,24.5
676,676,1983,227,24.5
677,677,1983,230,24.6
678,678,1983,233,25.0
679,679,1983,236,25.3
680,680,1983,239,25.4
681,681,1983,242,25.6
682,682,1983,245,25.4
683,683,1983,248,25.5
684,684,1983,251,25.8
685,685,1983,254,25.9
686,686,1983,257,25.7
687,687,1983,260,25.7
688,688,1983,263,26.2
689,689,1983,266,26.4
690,690,1983,269,26.5
691,691,1983,272,26.7
692,692,1983,275,26.6
693,693,1983,278,26.7
694,694,1983,281,26.8
695,695,1983,284,26.9
696,696,1983,287,26.8
697,697,1983,290,26.8
698,698,1983,293,26.8
699,699,1983,296,27.0
700,700,1983,299,26.9
701,701,1983,302,26.7
702,702,1983,305,26.7
703,703,1983,308,27.1
704,704,1983,311,27.3
705,705,1983,314,27.0
706,706,1983,317,27.2
707,707,1983,320,27.2
708,708,1983,323,26.9
709,709,1983,326,26.4
710,710,1983,329,26.3
711,711,1983,332,26.2
712,712,1983,335,26.2
713,713,1983,338,26.3
714,714,1983,341,26.3
715,715,1983,344,26.4
716,716,1983,347,26.7
717,717,1983,350,26.5
718,718,1983,353,26.4
719,719,1983,356,26.5
720,720,1983,360,26.7
721,721,1984,2,26.7
722,722,1984,5,26.7
723,723,1984,8,26.5
724,724,1984,11,26.3
725,725,1984,14,26.3
