threeday_yrmo,threeday_yr,year,dayofyear,varPAR-VarZ-VarK
562,562,1982,245,31.2
563,563,1982,248,20.0
564,564,1982,251,17.8
565,565,1982,254,24.7
566,566,1982,257,31.1
567,567,1982,260,29.1
568,568,1982,263,24.2
569,569,1982,266,28.9
570,570,1982,269,17.8
571,571,1982,272,25.2
572,572,1982,275,20.5
573,573,1982,278,17.7
574,574,1982,281,18.1
575,575,1982,284,25.2
576,576,1982,287,23.2
577,577,1982,290,14.0
578,578,1982,293,18.6
579,579,1982,296,9.7
580,580,1982,299,6.9
581,581,1982,302,13.1
582,582,1982,305,11.1
583,583,1982,308,7.2
584,584,1982,311,8.5
585,585,1982,314,15.1
586,586,1982,317,9.4
587,587,1982,320,3.6
588,588,1982,323,8.6
589,589,1982,326,12.5
590,590,1982,329,8.7
591,591,1982,332,3.4
592,592,1982,335,4.6
593,593,1982,338,6.8
594,594,1982,341,9.6
595,595,1982,344,9.6
596,596,1982,347,4.5
597,597,1982,350,4.4
598,598,1982,353,4.5
599,599,1982,356,7.4
600,600,1982,360,7.7
601,601,1983,2,4.0
602,602,1983,5,5.6
603,603,1983,8,5.2
604,604,1983,11,4.2
605,605,1983,14,9.9
606,606,1983,17,4.9
607,607,1983,20,6.3
608,608,1983,23,10.0
609,609,1983,26,4.8
610,610,1983,29,9.3
611,611,1983,32,14.5
612,612,1983,35,16.6
613,613,1983,38,10.9
614,614,1983,41,7.0
615,615,1983,44,8.2
616,616,1983,47,13.8
617,617,1983,50,12.8
618,618,1983,53,12.9
619,619,1983,56,14.0
620,620,1983,59,21.3
621,621,1983,62,19.6
622,622,1983,65,18.2
623,623,1983,68,10.8
624,624,1983,71,18.5
625,625,1983,74,20.0
626,626,1983,77,35.1
627,627,1983,80,31.4
628,628,1983,83,24.4
629,629,1983,86,22.1
630,630,1983,89,12.3
631,631,1983,92,16.0
632,632,1983,95,43.6
633,633,1983,98,36.5
634,634,1983,101,31.6
635,635,1983,104,46.8
636,636,1983,107,44.4
637,637,1983,110,34.7
638,638,1983,113,36.4
639,639,1983,116,21.4
640,640,1983,119,47.1
641,641,1983,122,45.7
642,642,1983,125,44.7
643,643,1983,128,30.0
644,644,1983,131,50.0
645,645,1983,134,42.5
646,646,1983,137,29.6
647,647,1983,140,44.2
648,648,1983,143,44.3
649,649,1983,146,47.7
650,650,1983,149,46.3
651,651,1983,152,37.9
652,652,1983,155,39.1
653,653,1983,158,43.8
654,654,1983,161,20.2
655,655,1983,164,33.5
656,656,1983,167,29.0
657,657,1983,170,30.8
658,658,1983,173,31.2
659,659,1983,176,19.6
660,660,1983,179,31.0
661,661,1983,182,21.4
662,662,1983,185,34.0
663,663,1983,188,22.5
664,664,1983,191,24.6
665,665,1983,194,21.0
666,666,1983,197,32.3
667,667,1983,200,34.2
668,668,1983,203,28.3
669,669,1983,206,25.7
670,670,1983,209,19.8
671,671,1983,212,35.9
672,672,1983,215,22.3
673,673,1983,218,28.9
674,674,1983,221,29.9
675,675,1983,224,29.1
676,676,1983,227,36.1
677,677,1983,230,35.2
678,678,1983,233,36.7
679,679,1983,236,36.0
680,680,1983,239,32.7
681,681,1983,242,19.1
682,682,1983,245,18.6
683,683,1983,248,29.3
684,684,1983,251,30.1
685,685,1983,254,16.2
686,686,1983,257,32.7
687,687,1983,260,25.4
688,688,1983,263,33.6
689,689,1983,266,32.3
690,690,1983,269,22.4
691,691,1983,272,31.4
692,692,1983,275,21.9
693,693,1983,278,27.0
694,694,1983,281,23.0
695,695,1983,284,27.8
696,696,1983,287,23.9
697,697,1983,290,14.2
698,698,1983,293,11.8
699,699,1983,296,17.9
700,700,1983,299,8.4
701,701,1983,302,19.1
702,702,1983,305,10.8
703,703,1983,308,10.8
704,704,1983,311,10.4
705,705,1983,314,6.7
706,706,1983,317,5.1
707,707,1983,320,3.9
708,708,1983,323,6.1
709,709,1983,326,7.2
710,710,1983,329,5.0
711,711,1983,332,9.2
712,712,1983,335,10.3
713,713,1983,338,5.6
714,714,1983,341,7.2
715,715,1983,344,4.1
716,716,1983,347,4.3
717,717,1983,350,8.0
718,718,1983,353,8.6
719,719,1983,356,7.7
720,720,1983,360,5.3
721,721,1984,2,3.8
722,722,1984,5,3.4
723,723,1984,8,3.2
724,724,1984,11,4.3
725,725,1984,14,10.9
726,726,1984,17,10.8
727,727,1984,20,7.6
728,728,1984,23,5.7
729,729,1984,26,4.7
730,730,1984,29,10.4
731,731,1984,32,10.9
732,732,1984,35,12.8
733,733,1984,38,9.9
734,734,1984,41,7.3
735,735,1984,44,13.3
736,736,1984,47,17.6
737,737,1984,50,5.9
738,738,1984,53,12.5
739,739,1984,56,18.9
740,740,1984,59,8.4
741,741,1984,62,18.7
742,742,1984,65,24.9
743,743,1984,68,24.1
744,744,1984,71,10.8
