threeday_yrmo,threeday_yr,year,dayofyear,stdfilter_varmixing_m
448,448,1981.0,263.0,1.0
449,449,1981.0,266.0,1.0
450,450,1981.0,269.0,1.1
451,451,1981.0,272.0,1.1
452,452,1981.0,275.0,1.1
453,453,1981.0,278.0,1.0
454,454,1981.0,281.0,1.0
455,455,1981.0,284.0,1.0
456,456,1981.0,287.0,1.1
457,457,1981.0,290.0,1.0
458,458,1981.0,293.0,1.0
459,459,1981.0,296.0,1.0
460,460,1981.0,299.0,1.0
461,461,1981.0,302.0,1.0
462,462,1981.0,305.0,1.0
463,463,1981.0,308.0,1.0
464,464,1981.0,311.0,1.0
465,465,1981.0,314.0,1.0
466,466,1981.0,317.0,1.0
467,467,1981.0,320.0,1.1
468,468,1981.0,323.0,1.2
469,469,1981.0,326.0,1.2
470,470,1981.0,329.0,1.2
471,471,1981.0,332.0,1.2
472,472,1981.0,335.0,1.2
473,473,1981.0,338.0,1.2
474,474,1981.0,341.0,1.2
475,475,1981.0,344.0,1.2
476,476,1981.0,347.0,1.2
477,477,1981.0,350.0,1.2
478,478,1981.0,353.0,1.2
479,479,1981.0,356.0,1.2
480,480,1981.0,360.0,1.2
481,481,1982.0,2.0,1.2
482,482,1982.0,5.0,1.2
483,483,1982.0,8.0,1.2
484,484,1982.0,11.0,1.2
485,485,1982.0,14.0,1.1
486,486,1982.0,17.0,1.1
487,487,1982.0,20.0,1.1
488,488,1982.0,23.0,1.1
489,489,1982.0,26.0,1.1
490,490,1982.0,29.0,1.2
491,491,1982.0,32.0,1.2
492,492,1982.0,35.0,1.2
493,493,1982.0,38.0,1.2
494,494,1982.0,41.0,1.2
495,495,1982.0,44.0,1.2
496,496,1982.0,47.0,1.2
497,497,1982.0,50.0,1.2
498,498,1982.0,53.0,1.2
499,499,1982.0,56.0,1.2
500,500,1982.0,59.0,1.2
501,501,1982.0,62.0,1.2
502,502,1982.0,65.0,1.2
503,503,1982.0,68.0,1.1
504,504,1982.0,71.0,1.1
505,505,1982.0,74.0,1.0
506,506,1982.0,77.0,1.0
507,507,1982.0,80.0,1.0
508,508,1982.0,83.0,1.0
509,509,1982.0,86.0,1.1
510,510,1982.0,89.0,1.1
511,511,1982.0,92.0,1.2
512,512,1982.0,95.0,1.2
513,513,1982.0,98.0,1.2
514,514,1982.0,101.0,1.2
515,515,1982.0,104.0,1.1
516,516,1982.0,107.0,1.1
517,517,1982.0,110.0,1.1
518,518,1982.0,113.0,1.1
