Date,Day of Year,Year,Total Biomass (C),N Bound (g m^-2),N Free (g m^-2),PP1-DIA,PP2-NAN,PP3-PIC,PZ1-CIL,PZ2-DIN
1997-05-02,122,1997,6.058728452307998,10.234338601871617,14.765661398128383,3.8176723232809104,1.2136840246758371,0.36459720545219926,0.36163579787848127,0.30113910102057
1997-05-05,125,1997,4.889778577044326,8.259761109872171,16.740238890127827,2.8636492780919345,1.0825564618380565,0.31412370786914284,0.3613158167533155,0.2681333124918758
1997-05-08,128,1997,5.2875703066868605,8.931706599133209,16.068293400866793,3.2295406058149516,1.1139957676518641,0.33834775542875506,0.34588099841801623,0.2598051793732733
1997-05-11,131,1997,5.399833138708798,9.121339761332429,15.878660238667571,3.164956654692596,1.2165801100011142,0.41040226029899884,0.3352049205663069,0.27268919314978257
1997-05-14,134,1997,6.865726570307084,11.597511098491694,13.402488901508306,4.379214744747809,1.3225674998085455,0.5321859771350644,0.32876763878003606,0.3029907098356283
1997-05-17,137,1997,6.4904738912042585,10.963638329736922,14.036361670263078,3.784445063123163,1.3867531837157483,0.6217193325735488,0.34103929018074614,0.35651702161105175
1997-05-20,140,1997,6.8310073275611085,11.538863728988359,13.461136271011641,4.033223103577236,1.4320400148067833,0.6296423630894356,0.34957309815118903,0.3865287479364647
1997-05-23,143,1997,7.340423851924121,12.39936461473669,12.60063538526331,4.506596774425146,1.4466645980780979,0.6237733136370497,0.36015547885085053,0.4032336869329776
1997-05-26,146,1997,7.861599954456653,13.2797296527984,11.7202703472016,4.984142432572707,1.4430376691638298,0.6308804301158437,0.37555296078043165,0.4279864618238413
1997-05-29,149,1997,7.253683947729615,12.252844506300026,12.747155493699974,4.576696836723472,1.3495429108727652,0.5259982940161003,0.39462426889617486,0.40682163722110243
1997-06-01,152,1997,6.581910294800434,11.118091714189921,13.881908285810079,4.105246376541426,1.248888071752944,0.4410743474960327,0.4042631248820503,0.3824383741279819
1997-06-04,155,1997,6.006018371880055,10.145301303851443,14.854698696148557,3.7196328729953407,1.1518124213758507,0.379391090122034,0.40253304248710847,0.352648944899721
1997-06-07,158,1997,6.079255934200197,10.269013402365196,14.730986597634804,3.795727341579941,1.1470635448986632,0.3944493344932232,0.39262590228386646,0.3493898109445032
