YEAR,Timestep,CHIN_H_MT_KM2,COHO_H_MT_KM2,CHUM_H_MT_KM2,PINK_H_MT_KM2,SOCKEYE_H_MT_KM2,CHIN_H_N,COHO_H_N,CHUM_H_N,PINK_H_N,SOCKEYE_H_N
Title,1,1,1,1,1,1,1,1,1,1,1
Weight,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Type,interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval
1986,434,0,0,0,0,0,0,0,0,0,0
1986,435,0.00012,0.00023,0.00074,0.00012,0,172816,113125,14469555,2991449,0
1986,436,0.00104,0.00097,0.00209,0.00011,0.00013,1548717,455648,26542999,3221255,9718625
1986,437,0.00192,0.01591,0.00242,0.00049,0,2905626,8686240,42009653,15503526,0
1986,438,0.00844,0.00307,0.00094,0,0.00023,14761378,1610127,9282910,0,18884000
1986,439,0.00026,0.00373,0,0,0,430137,2034170,0,0,0
1986,440,0.00001,0.00106,0,0,0,7550,545711,0,0,0
1986,441,0.00008,0.00052,0,0,0,117210,264204,0,0,0
1986,442,0.00009,0.00067,0,0,0,132812,339152,0,0,0
1986,443,0,0.00044,0,0,0,0,230361,0,0,0
1986,444,0,0.00009,0,0,0,0,45188,0,0,0
1987,445,0,0,0,0,0,0,0,0,0,2627000
1987,446,0,0,0,0,0,0,0,0,0,0
1987,447,0.0001,0.0002,0.00244,0.00003,0.00001,102769,84660,60329073,1310389,14100
1987,448,0.00287,0.00086,0.00148,0.0002,0.00038,4735826,418448,14756734,3437534,26246763
1987,449,0.00835,0.01587,0.00364,0,0.00005,14676089,8527762,64685509,0,3877000
