,Title,YEAR_,CHIN_H_MT_,COHO_H_MT_,CHUM_H_MT_,SOCKEYE_H_MT_,PINK_H_MT_,CHIN_H_N_,COHO_H_N_,CHUM_H_N_,SOCKEYE_H_N_,PINK_H_N_,COHO_H_N_adj,COHO_H_MT_KM2_adj,CHIN_H_N_adj,CHIN_H_MT_KM2_adj,PINK_H_N_adj,PINK_H_MT_KM2_adj,SOCKEYE_H_N_adj,SOCKEYE_H_MT_KM2_adj,CHUM_H_N_adj,CHUM_H_MT_KM2_adj
55,55,2005.0,0.000986923076923,0.0015453846153846,0.0004376923076923,0.0001461538461538,1.153846153846154e-05,23240472.0,11301477.0,129467187.0,60464222.0,4896496.0,11301477.0,0.040102015161290326,23240472.0,4.163364555428571e-05,45400000.0,0.0006799999999999999,60464222.0,0.060464222000000005,129467187.0,0.005052378029268293
56,56,2006.0,0.00091,0.0011292307692307,0.0003176923076923,0.0001530769230769,5.846153846153847e-05,21452685.0,8250871.0,99281446.0,60275409.0,27273442.0,8250871.0,0.029277284193548386,21452685.0,3.843095284285714e-05,45400000.0,0.0006799999999999999,60275409.0,0.060275409,99281446.0,0.003874397892682927
57,57,2007.0,0.0009153846153846,0.0009884615384615,0.0004107692307692,0.0001076923076923,1.3846153846153848e-05,21566597.0,7224519.0,130950664.0,62701619.0,4282476.0,7224519.0,0.02563539,21566597.0,3.863501805428572e-05,45400000.0,0.0006799999999999999,62701619.0,0.062701619,130950664.0,0.005110269814634146
58,58,2008.0,0.0007976923076923,0.0010630769230769,0.0002607692307692,7.538461538461539e-05,0.0001130769230769,18791229.0,7765059.0,80027843.0,38384511.0,17841422.0,7765059.0,0.027553435161290322,18791229.0,3.366314452285714e-05,45400000.0,0.0006799999999999999,38384511.0,0.038384511,80027843.0,0.0031230377756097565
59,59,2009.0,0.0007584615384615,0.0011576923076923,0.0001830769230769,4.538461538461539e-05,2.4615384615384616e-05,17881678.0,8459117.0,46360294.0,11621597.0,7931350.0,8459117.0,0.030016221612903227,17881678.0,3.203374887428571e-05,45400000.0,0.0006799999999999999,13200000.0,0.013200000000000002,46360294.0,0.0018091822048780489
60,60,2010.0,0.0008333333333333,0.0015575,0.0001766666666666,8e-05,4.916666666666667e-05,18104951.0,10516262.0,42451958.0,48620361.0,17247841.0,10516262.0,0.03731576838709678,18104951.0,3.2433726505714284e-05,45400000.0,0.0006799999999999999,48620361.0,0.048620361,42451958.0,0.0016566617756097561
61,61,2011.0,0.0006776923076923,0.0014646153846153,0.0001407692307692,0.0001238461538461,2.307692307692308e-05,15941884.0,10698612.0,33431311.0,80587131.0,8047596.0,10698612.0,0.037962816774193546,15941884.0,2.8558746480000002e-05,45400000.0,0.0006799999999999999,80587131.0,0.080587131,33431311.0,0.0013046365268292684
62,62,2012.0,0.0007538461538461,0.00116,0.0002646153846153,8.923076923076924e-05,3.538461538461539e-05,17743709.0,8485202.0,80149027.0,49655308.0,15332075.0,8485202.0,0.03010878129032258,17743709.0,3.1786587265714286e-05,45400000.0,0.0006799999999999999,49655308.0,0.049655308,80149027.0,0.0031277669073170736
63,63,2013.0,0.0006107692307692,0.0010038461538461,0.0003215384615384,5.0769230769230766e-05,2e-05,14362679.0,7337355.0,83666186.0,14303911.0,7510343.0,7337355.0,0.026035775806451614,14362679.0,2.5729713522857146e-05,45400000.0,0.0006799999999999999,14303911.0,0.014303911,83666186.0,0.003265021892682927
64,64,2014.0,0.0004861538461538,0.0010092307692307,0.0002815384615384,7.692307692307693e-05,3.538461538461539e-05,11426698.0,7384264.0,62590807.0,49205185.0,15924986.0,7384264.0,0.026202227096774194,11426698.0,2.0470113274285716e-05,45400000.0,0.0006799999999999999,49205185.0,0.049205185000000005,62590807.0,0.0024425680780487805
65,65,2015.0,0.0006374999999999,0.00087,0.0001899999999999,8.25e-05,1.1666666666666668e-05,13835594.0,5873260.0,29214966.0,45899889.0,5384232.0,5873260.0,0.0208406,13835594.0,2.4785478394285717e-05,45400000.0,0.0006799999999999999,45899889.0,0.045899889000000006,29214966.0,0.0011400962341463416
66,66,2016.0,0.0003324999999999,0.0002308333333333,0.0001125,2.0833333333333333e-05,8.333333333333334e-06,7210428.0,1556997.0,27182746.0,3589268.0,3433220.0,3100000.0,0.011,7210428.0,1.2916966731428571e-05,45400000.0,0.0006799999999999999,13200000.0,0.013200000000000002,27182746.0,0.0010607900878048782
67,67,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100000.0,0.011,7000000.0,1.254e-05,45400000.0,0.0006799999999999999,13200000.0,0.013200000000000002,16400000.0,0.00064
68,68,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100000.0,0.011,7000000.0,1.254e-05,45400000.0,0.0006799999999999999,13200000.0,0.013200000000000002,16400000.0,0.00064
69,69,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100000.0,0.011,7000000.0,1.254e-05,45400000.0,0.0006799999999999999,13200000.0,0.013200000000000002,16400000.0,0.00064
