Date,xvelocMean4m
2009-02-15,-1.4919992019154031
2009-03-15,-1.058200319233839
2009-04-15,-1.3709098164405427
2009-05-15,-1.9602553870710293
2009-06-15,-2.2823224261771746
2009-07-15,-1.6383280127693534
2009-08-15,-1.5647446129289704
2009-09-15,-1.2962290502793297
2009-10-15,-1.1652833200319233
2009-11-15,-0.7975658419792497
2009-12-15,-1.5053272146847563
2010-01-15,-1.0751396648044693
2010-02-15,-1.0060654429369513
2010-03-15,-0.8795889864325619
2010-04-15,-1.4078611332801274
2010-05-15,-1.7852354349561055
2010-06-15,-1.7958100558659216
2010-07-15,-1.7094373503591382
2010-08-15,-1.1665403032721469
2010-09-15,-1.4167797286512371
2010-10-15,-1.1055865921787709
2010-11-15,-1.3294493216280925
2010-12-15,-1.0522745411013568
2011-01-15,-1.1241819632881085
2011-02-15,-1.0064046288906625
2011-03-15,-0.5342378292098964
2011-04-15,-1.306145251396648
2011-05-15,-2.0717478052673584
2011-06-15,-2.2699321628092575
2011-07-15,-2.244852354349561
2011-08-15,-1.7511173184357542
2011-09-15,-1.510614525139665
2011-10-15,-1.3190343176376698
2011-11-15,-1.2397047086991222
2011-12-15,-0.9810853950518754
2012-01-15,-0.7317438148443735
2012-02-15,-1.0559856344772545
2012-03-15,-0.8206504389465284
2012-04-15,-1.432801276935355
2012-05-15,-2.2674181963288107
2012-06-15,-2.4172984836392657
2012-07-15,-2.169533120510774
2012-08-15,-1.647366320830008
2012-09-15,-1.5427174780526736
2012-10-15,-1.1876695929768557
2012-11-15,-1.2457501995211493
2012-12-15,-1.0682761372705507
2013-01-15,-1.186951316839585
2013-02-15,-0.7554070231444532
2013-03-15,-1.321149241819633
2013-04-15,-1.2965682362330406
2013-05-15,-2.3000598563447725
2013-06-15,-2.334996009577015
2013-07-15,-1.7594772545889865
2013-08-15,-1.545949720670391
2013-09-15,-0.9546288906624103
2013-10-15,-1.8915003990422987
2013-11-15,-1.222126895450918
2013-12-15,-0.8689744612928969
2014-01-15,-1.320291300877893
2014-02-15,-1.2463088587390263
2014-03-15,-0.8817238627294495
2014-04-15,-1.1071827613727057
2014-05-15,-1.9319832402234633
2014-06-15,-2.1219672785315247
2014-07-15,-1.832541899441341
2014-08-15,-1.194632881085395
2014-09-15,-1.552094972067039
2014-10-15,-1.1858739026336793
2014-11-15,-1.6606943335993614
2014-12-15,-1.3822226656025538
2015-01-15,-1.3180766161213089
2015-02-15,-1.208459696727853
2015-03-15,-1.3345770151636072
2015-04-15,-1.4721667996807661
2015-05-15,-2.0259377494014363
2015-06-15,-2.109976057462091
2015-07-15,-1.6415403032721472
2015-08-15,-1.1547286512370312
2015-09-15,-1.822924980047885
2015-10-15,-1.3055466879489226
2015-11-15,-1.765103750997606
2015-12-15,-1.272366320830008
2016-01-15,-1.0368715083798883
2016-02-15,-0.9059856344772547
2016-03-15,-1.1724461292897048
2016-04-15,-1.682561851556265
2016-05-15,-2.10195530726257
2016-06-15,-1.7319233838786912
2016-07-15,-1.7757781324820432
2016-08-15,-1.2948124501197127
2016-09-15,-1.7122106943335995
2016-10-15,-1.5661811652035116
2016-11-15,-0.8222067039106145
2016-12-15,-1.4175778132482042
2017-01-15,-1.555466879489226
2017-02-15,-1.4620909816440544
2017-03-15,-0.649461292897047
2017-04-15,-0.9978651237031124
2017-05-15,-1.7526536312849161
2017-06-15,-2.4117118914604947
2017-07-15,-1.826795690343176
2017-08-15,-1.2396448523543497
2017-09-15,-1.297266560255387
2017-10-15,-1.4659417398244217
2017-11-15,-0.7348363926576217
2017-12-15,-1.6419992019154033
2018-01-15,-0.7160215482841181
2018-02-15,-1.101975259377494
2018-03-15,-1.1644054269752593
2018-04-15,-1.1713687150837988
2018-05-15,-2.5374501197126897
2018-06-15,-1.9631484437350357
2018-07-15,-1.83024740622506
2018-08-15,-1.3926975259377492
2018-09-15,-1.3566241021548284
2018-10-15,-1.2642458100558658
2018-11-15,-1.527853152434158
2018-12-15,-1.2192537909018355
