Cruise,Date.Time,DayOfYear,Station,Lat,Lon,Depth.Bottom,SampleNum,Pressure,Temperature,Salinity,DO2,MLD_bvfnoSmooth,bvf_noSmooth,Chlorophyll,Nitrate_plus_Nitrite,Silicate,Diatoms1,Diatoms2,Prasinophytes,Cryptophytes,Dinoflagellates,Haptophytes,Dictyochophytes,Raphidophytes,Cyanobacteria,TchlA,total diatoms,chlidea,Me-chlide a,sum,ratio,Total cells/ml,Total autrophs/ml,centric diatoms,pennate diatoms,prasinophytes,cryptophytes,auto dinoflagellates,prymnesiophytes,dictyochophytes,raphidophytes,chlorophytes,euglenophytes,UID autotroph,unidentified dinoflagellates,unidentified flagellates,Dominant Species,sdomain,ecospace_closest_lat,ecospace_closest_lon,closest_ecospace_time,PP1-DIA,PP2-NAN,PP3-PIC,PZ1-CIL,PZ2-DIN,ssc-DIA,ssc-FLA,ssc-CIL
2015-020,2015-06-06 17:52:00,158,24,49.504,-124.101,423.0,399,1.6,18.83,17.74,6.74,6.0,0.01000915,0.74,0.2,27.33,0.26,0.0,0.1,0.16,0.02,0.03,0.0,0.02,0.02,0.61,0.26,0.005,0.016,0.021,0.034,,,,,,,,,,,,,,,,,SGS,49.50614547729492,-124.09828948974608,2015-06-07 00:00:00,1.95729732513428,1.621697306633,0.507588088512421,1.29608082771301,1.07237529754639,0.2607922852039337,1.542750597000122,0.2530861496925354
2015-020,2015-06-06 20:09:00,158,28,49.402,-123.755,132.0,400,2.2,17.31,17.07,7.04,10.0,0.007867166,2.48,1.38,31.58,0.68,0.0,0.26,0.68,0.11,0.19,0.01,0.02,0.0,1.95,0.68,0.045,0.089,0.134,0.069,,,,,,,,,,,,,,,,,SGS,49.39785385131836,-123.76123046875,2015-06-07 00:00:00,1.9887547492981,1.54790937900543,0.474844038486481,1.17675304412842,0.936136603355408,0.2607922852039337,1.542750597000122,0.2530861496925354
2015-020,2015-06-06 21:30:00,158,GEO1,49.25,-123.749,396.0,402,2.1,18.78,15.37,6.66,4.0,0.010149067,1.77,1.01,35.92,0.43,0.0,0.17,0.67,0.02,0.18,0.0,0.06,0.0,1.54,0.43,0.037,0.043,0.08,0.052,,,,,,,,,,,,,,,,,SGS,49.2464714050293,-123.75408935546876,2015-06-07 00:00:00,1.77927529811859,1.69124603271484,0.550374507904053,1.68085074424744,1.18614327907562,0.2607922852039337,1.542750597000122,0.2530861496925354
2015-020,2015-06-07 00:35:00,158,38,49.201,-123.439,304.0,403,1.9,16.28,14.63,7.05,5.0,0.008914549,5.5,3.51,42.46,1.34,0.0,0.65,2.13,0.08,0.2,0.0,0.14,0.0,4.54,1.34,0.082,0.108,0.19,0.042,,,,,,,,,,,,,,,,,SGS,49.20813751220703,-123.43565368652344,2015-06-07 00:00:00,1.91358983516693,1.48571038246155,0.439395666122437,1.21972930431366,0.917849779129028,0.27655935287475586,1.5535320043563843,0.23395997285842896
2015-018,2015-06-25 01:43:00,176,SI,48.652,-123.51,182.0,10,1.6,15.92,28.02,9.66,4.0,0.001117635,6.65,0.27,9.3,5.35,0.0,0.1,0.12,0.56,0.26,0.0,0.0,0.04,6.43,5.35,0.899,0.879,1.778,0.276,,,,,,,,,,,,,,,,,SGS,48.65264129638672,-123.51510620117188,2015-06-25 00:00:00,1.43723082542419,1.82291281223297,0.695015907287598,2.07954883575439,1.29759657382965,4.533602714538574,0.6126540899276733,0.2947920262813568
2015-018,2015-06-25 05:03:00,176,59,48.63,-123.243,230.0,24,2.1,12.13,28.94,6.56,20.0,0.000509397,11.73,10.19,28.04,11.38,0.0,0.2,0.32,0.13,0.03,0.0,0.1,0.0,12.17,11.38,0.642,0.732,1.374,0.113,2333,2226.0,2042.0,107.0,10.0,53.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,10.0,97.0,Chaetoceros socialis,SGI,48.62664794921875,-123.2475814819336,2015-06-25 00:00:00,2.72176170349121,2.08122897148132,0.7402383685112,4.90322636323981e-05,0.490486830472946,4.533602714538574,0.6126540899276733,0.2947920262813568
2015-018,2015-06-25 14:42:00,177,102,48.5,-124.733,255.0,38,2.0,11.09,31.27,5.52,15.0,0.00063515,2.66,21.09,38.11,0.51,0.04,0.28,1.0,0.3,0.3,0.06,0.32,0.0,2.81,0.55,0.04,0.0,0.04,0.014,1637,1086.0,23.0,0.0,229.0,660.0,93.0,0.0,81.0,0.0,0.0,0.0,0.0,19.0,532.0,mix,,-999.0,-999.0,2015-06-25 00:00:00,0.0,0.0,0.0,0.0,0.0,4.533602714538574,0.6126540899276733,0.2947920262813568
2015-018,2015-06-25 17:30:00,177,75,48.47,-124.548,224.0,52,2.1,12.36,30.93,6.77,7.0,0.000497456,5.15,13.45,32.3,2.15,0.0,0.31,1.19,0.64,0.28,0.06,0.45,0.01,5.09,2.15,0.223,0.591,0.814,0.16,,,,,,,,,,,,,,,,,,-999.0,-999.0,2015-06-25 00:00:00,0.0,0.0,0.0,0.0,0.0,4.533602714538574,0.6126540899276733,0.2947920262813568
2015-018,2015-06-25 22:04:00,177,72,48.311,-124.068,185.0,65,2.0,12.33,30.66,7.87,16.0,0.000648302,16.15,7.54,27.62,11.15,0.0,0.24,0.93,0.31,0.42,0.0,0.11,0.01,13.16,11.15,1.303,1.611,2.914,0.221,3909,3545.0,3007.0,48.0,73.0,354.0,58.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,359.0,Chaetoceros socialis,,-999.0,-999.0,2015-06-25 00:00:00,0.0,0.0,0.0,0.0,0.0,4.533602714538574,0.6126540899276733,0.2947920262813568
2015-018,2015-06-26 01:04:00,177,69,48.261,-123.72,180.0,77,1.9,11.98,30.45,7.37,57.0,0.001127613,10.22,9.6,28.03,12.32,0.0,0.11,0.55,0.08,0.31,0.0,0.0,0.0,13.37,12.32,1.236,1.048,2.284,0.171,,,,,,,,,,,,,,,,,,-999.0,-999.0,2015-06-25 00:00:00,0.0,0.0,0.0,0.0,0.0,1.2389112710952759,1.167078971862793,0.4339587092399597
2015-018,2015-06-26 04:19:00,177,ADCP,48.233,-123.3,119.0,87,1.8,12.1,33.0,7.25,92.0,0.00032539,12.67,9.1,27.93,11.16,0.0,0.2,0.51,0.26,0.47,0.0,0.0,0.0,12.6,11.16,0.922,0.935,1.857,0.147,2842,2716.0,2279.0,272.0,0.0,145.0,15.0,0.0,5.0,0.0,0.0,0.0,0.0,24.0,102.0,Chaetoceros socialis,,-999.0,-999.0,2015-06-25 00:00:00,0.0,0.0,0.0,0.0,0.0,1.2389112710952759,1.167078971862793,0.4339587092399597
