year,group,obs_anom,model_anom,Pass,Season,ObsSummary
2009,ZS4-LAR,0.8669473562673587,0.49944588166533577,ZS,Winter,log_of_mean
2010,Total,-0.8568323102090025,-0.6333342228346375,ZS,Winter,log_of_mean
2010,ZS2-CTH,-0.7246231066482668,-0.3393702720426645,ZS,Winter,log_of_mean
2010,ZS3-CHA,-0.6859473211639145,-0.3539914165672261,ZS,Winter,log_of_mean
2010,ZS4-LAR,-0.025656699263709802,-1.2792229733984646,ZS,Winter,log_of_mean
2011,Total,-1.7707902901603136,1.2365315819554943,ZS,Winter,log_of_mean
2011,ZS2-CTH,-2.2500704156562943,0.1504312395773021,ZS,Winter,log_of_mean
2011,ZS3-CHA,-1.5394970136439508,1.125799282447527,ZS,Winter,log_of_mean
2011,ZS4-LAR,0.1661023507678101,0.8745789015267885,ZS,Winter,log_of_mean
2015,Total,0.3203189217741459,-1.9031331607579682,ZS,Winter,log_of_mean
2015,ZS2-CTH,0.39597623926088155,0.40816852567505657,ZS,Winter,log_of_mean
2015,ZS3-CHA,0.33025680811606295,-1.9824329645002021,ZS,Winter,log_of_mean
2015,ZS4-LAR,0.19694889793893394,-0.10680199170702319,ZS,Winter,log_of_mean
2016,Total,0.8447998381434647,0.20660076012234962,ZS,Winter,log_of_mean
2016,ZS2-CTH,0.9693434546915006,1.5905470353665556,ZS,Winter,log_of_mean
2016,ZS3-CHA,0.7587096902911675,-0.3202138935876858,ZS,Winter,log_of_mean
2016,ZS4-LAR,0.11189266445789177,1.6069581813104774,ZS,Winter,log_of_mean
2017,Total,0.5164989658427586,-0.9910997172748557,ZS,Winter,log_of_mean
2017,ZS2-CTH,0.3987776465998067,0.30136462650383666,ZS,Winter,log_of_mean
2017,ZS3-CHA,0.44969676429839744,-0.9584799346357824,ZS,Winter,log_of_mean
2017,ZS4-LAR,1.120062884393779,-0.693271953576578,ZS,Winter,log_of_mean
2018,Total,0.9493382784658335,0.8417517433751605,ZS,Winter,log_of_mean
2018,ZS2-CTH,1.0594752405082912,0.9818877022522379,ZS,Winter,log_of_mean
2018,ZS3-CHA,0.7899196749997422,0.8138448345545302,ZS,Winter,log_of_mean
2018,ZS4-LAR,0.6910157299785996,-0.3769223534479294,ZS,Winter,log_of_mean
2002,Total,0.9191617819164187,0.7354159350674488,ZS,Winter,mean_of_logs
2002,ZS2-CTH,0.1497066688368712,-0.6921527420460543,ZS,Winter,mean_of_logs
2002,ZS3-CHA,1.0985335784583599,0.7390332135312947,ZS,Winter,mean_of_logs
2002,ZS4-LAR,-0.896955270630186,0.7364044047570992,ZS,Winter,mean_of_logs
2004,Total,1.616483564052748,1.5194949543425516,ZS,Winter,mean_of_logs
2004,ZS2-CTH,-0.12121955350240121,-0.055725536997714376,ZS,Winter,mean_of_logs
2004,ZS3-CHA,1.7828994112253982,1.7841899984494298,ZS,Winter,mean_of_logs
2004,ZS4-LAR,-0.43011512535734653,-1.786482651802864,ZS,Winter,mean_of_logs
2005,Total,0.41086182075838135,0.10370602878400528,ZS,Winter,mean_of_logs
2005,ZS2-CTH,0.38722243941332535,-0.5882067832018852,ZS,Winter,mean_of_logs
2005,ZS3-CHA,0.5454257742653271,0.40102443497113544,ZS,Winter,mean_of_logs
2005,ZS4-LAR,-2.1145080881469416,-1.261168097129716,ZS,Winter,mean_of_logs
2007,Total,-0.05473485049779651,2.4335577142818368,ZS,Winter,mean_of_logs
2007,ZS2-CTH,-0.08516522008107015,-0.055725536997714376,ZS,Winter,mean_of_logs
2007,ZS3-CHA,0.017849581332253384,2.502029876716578,ZS,Winter,mean_of_logs
2007,ZS4-LAR,0.665243480034325,-0.32200158934860146,ZS,Winter,mean_of_logs
2008,Total,-0.014496664309227445,1.0860159580972706,ZS,Winter,mean_of_logs
2008,ZS2-CTH,-0.7097765722587464,-1.311951627385223,ZS,Winter,mean_of_logs
2008,ZS3-CHA,0.2158036687954758,1.3888238300632934,ZS,Winter,mean_of_logs
2008,ZS4-LAR,0.053555393370184154,-1.0134801753179743,ZS,Winter,mean_of_logs
2009,Total,-1.3949671008699571,0.4035610515630077,ZS,Winter,mean_of_logs
2009,ZS2-CTH,-0.5576221299904381,-1.8126693320843923,ZS,Winter,mean_of_logs
2009,ZS3-CHA,-1.7283872668889084,0.5354164437864259,ZS,Winter,mean_of_logs
2009,ZS4-LAR,0.9024321599901364,0.49944588166533577,ZS,Winter,mean_of_logs
2010,Total,-0.760263272725641,-0.6333342228346375,ZS,Winter,mean_of_logs
2010,ZS2-CTH,-0.8114421815453328,-0.3393702720426645,ZS,Winter,mean_of_logs
2010,ZS3-CHA,-0.553560562615569,-0.3539914165672261,ZS,Winter,mean_of_logs
2010,ZS4-LAR,0.022702257059633666,-1.2792229733984646,ZS,Winter,mean_of_logs
2011,Total,-1.6370937622859167,1.2365315819554943,ZS,Winter,mean_of_logs
2011,ZS2-CTH,-2.062848201517296,0.1504312395773021,ZS,Winter,mean_of_logs
2011,ZS3-CHA,-1.3929804616797623,1.125799282447527,ZS,Winter,mean_of_logs
2011,ZS4-LAR,0.037500797980470846,0.8745789015267885,ZS,Winter,mean_of_logs
2015,Total,0.4997795674484915,-1.9031331607579682,ZS,Winter,mean_of_logs
2015,ZS2-CTH,0.4257651828862932,0.40816852567505657,ZS,Winter,mean_of_logs
2015,ZS3-CHA,0.5322289686688998,-1.9824329645002021,ZS,Winter,mean_of_logs
2015,ZS4-LAR,0.21994411189240906,-0.10680199170702319,ZS,Winter,mean_of_logs
2016,Total,0.6230634862966115,0.20660076012234962,ZS,Winter,mean_of_logs
2016,ZS2-CTH,0.909104884226186,1.5905470353665556,ZS,Winter,mean_of_logs
2016,ZS3-CHA,0.48604299106804905,-0.3202138935876858,ZS,Winter,mean_of_logs
2016,ZS4-LAR,0.020369399446705242,1.6069581813104774,ZS,Winter,mean_of_logs
2017,Total,0.31811542485995986,-0.9910997172748557,ZS,Winter,mean_of_logs
2017,ZS2-CTH,0.34520114992571854,0.30136462650383666,ZS,Winter,mean_of_logs
2017,ZS3-CHA,0.16774455797344653,-0.9584799346357824,ZS,Winter,mean_of_logs
2017,ZS4-LAR,1.2388229819065946,-0.693271953576578,ZS,Winter,mean_of_logs
2018,Total,1.0213420546016536,0.8417517433751605,ZS,Winter,mean_of_logs
2018,ZS2-CTH,1.2149121877646758,0.9818877022522379,ZS,Winter,mean_of_logs
2018,ZS3-CHA,0.8449524207501602,0.8138448345545302,ZS,Winter,mean_of_logs
2018,ZS4-LAR,0.5696916505011758,-0.3769223534479294,ZS,Winter,mean_of_logs
2000,Total,2.0449554822847165,2.224901931813908,ZS,Spring,log_of_mean
2000,ZS2-CTH,0.2779236665269421,1.841588315479188,ZS,Spring,log_of_mean
2000,ZS3-CHA,2.7093793684966556,1.7274672462841592,ZS,Spring,log_of_mean
2000,ZS4-LAR,0.3053780754985072,0.8088715576292769,ZS,Spring,log_of_mean
2001,Total,2.507035515573092,-0.805728586185776,ZS,Spring,log_of_mean
2001,ZS2-CTH,-0.4585562361073975,-1.7388516613775715,ZS,Spring,log_of_mean
2001,ZS3-CHA,3.3595493661863296,0.30053880153786033,ZS,Spring,log_of_mean
2001,ZS4-LAR,-0.24154774999400586,-1.1927073541737692,ZS,Spring,log_of_mean
2002,Total,-1.8803364692600926,-1.762291506754453,ZS,Spring,log_of_mean
2002,ZS2-CTH,-0.7391374294421791,-2.707986025943278,ZS,Spring,log_of_mean
2002,ZS3-CHA,-1.8370896845321978,-0.5671185528073682,ZS,Spring,log_of_mean
2002,ZS4-LAR,-3.4623943554248364,-2.0525107559859777,ZS,Spring,log_of_mean
2003,Total,-2.0928110842294063,0.8617130444674835,ZS,Spring,log_of_mean
2003,ZS2-CTH,-2.0620537546031876,-0.521062456138229,ZS,Spring,log_of_mean
2003,ZS3-CHA,-1.9206743746096269,1.774513980053361,ZS,Spring,log_of_mean
2003,ZS4-LAR,-1.629650295643491,0.3839096846001354,ZS,Spring,log_of_mean
2004,Total,-0.7899483647233266,-0.3317628791158568,ZS,Spring,log_of_mean
