date,group,obs_biomass,model_biomass
2015-05-04,ZF1-ICT,0.0570811709947314,0.01749046
2015-05-04,ZF1-ICT,0.122219092798151,0.01749046
2015-05-05,ZF1-ICT,0.10094246397732,0.01749046
2015-05-05,ZF1-ICT,0.727495208898928,0.01749046
2015-05-05,ZF1-ICT,0.0156543660212973,0.01749046
2015-05-06,ZF1-ICT,0.0104993279968002,0.01749046
2015-05-06,ZF1-ICT,0.209043219044645,0.01749046
2015-05-06,ZF1-ICT,0.0721423667737263,0.01749046
2015-05-06,ZF1-ICT,0.0527400720163099,0.01749046
2015-05-06,ZF1-ICT,0.068544168038138,0.01749046
2015-05-13,ZF1-ICT,0.0050695007997372,0.01797446
2015-05-17,ZF1-ICT,0.0121339007989933,0.01818741
2015-05-20,ZF1-ICT,0.131244313203153,0.01845836
2015-05-20,ZF1-ICT,0.115790497203986,0.01845836
2015-05-20,ZF1-ICT,0.173673506947042,0.01845836
2015-05-21,ZF1-ICT,0.093039029988254,0.01845836
2015-05-21,ZF1-ICT,0.0129595788011812,0.01845836
2015-05-21,ZF1-ICT,0.213421634992251,0.01845836
2015-05-21,ZF1-ICT,0.0212501015914362,0.01845836
2015-05-22,ZF1-ICT,0.0762206759957995,0.01877315
2015-05-22,ZF1-ICT,0.0720293405859673,0.01877315
2015-05-22,ZF1-ICT,0.0302120700002773,0.01877315
2015-05-25,ZF1-ICT,0.0018023040007179,0.01912248
2015-06-05,ZF1-ICT,0.268506327608511,0.02025999
2015-06-06,ZF1-ICT,0.136712242796524,0.02063187
2015-06-06,ZF1-ICT,0.117722442548062,0.02063187
2015-06-06,ZF1-ICT,0.0625575509876079,0.02063187
2015-06-06,ZF1-ICT,0.0031613399997018,0.02063187
2015-06-06,ZF1-ICT,0.075483181197312,0.02063187
2015-06-06,ZF1-ICT,0.0247243626092524,0.02063187
2015-06-06,ZF1-ICT,0.0608552196033272,0.02063187
2015-06-06,ZF1-ICT,1.01979750599199,0.02063187
2015-06-06,ZF1-ICT,0.0351807792082975,0.02063187
2015-06-26,ZF1-ICT,,0.0222002
2015-06-27,ZF1-ICT,0.0265437017913332,0.02243482
2015-06-27,ZF1-ICT,0.0287933100076508,0.02243482
2015-06-27,ZF1-ICT,0.0263949923960988,0.02243482
2015-06-27,ZF1-ICT,0.10492179600433,0.02243482
2015-06-28,ZF1-ICT,0.0014999586,0.02243482
2015-06-28,ZF1-ICT,0.0244172795890753,0.02243482
2015-07-06,ZF1-ICT,0.0022358699670734,0.02317899
2015-07-06,ZF1-ICT,,0.02317899
2015-07-06,ZF1-ICT,,0.02317899
2015-07-07,ZF1-ICT,0.0451229436049697,0.02317899
2015-07-07,ZF1-ICT,0.0101545920004637,0.02317899
2015-07-07,ZF1-ICT,,0.02317899
2015-07-07,ZF1-ICT,,0.02317899
2015-07-08,ZF1-ICT,,0.02317899
2015-07-08,ZF1-ICT,,0.02317899
