timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,season
47,0.0041377,0.0001514005,0.2706454,0.02808602,0.4449999,0.3750875,0.07802942,0.571427,0.5759255,0.002897466,0.0328584,0.3138525,0.05656781,1.52598,1.032573,0.4482994,4.614871,1.696273,0.3842248,0.1479501,8.386375,12.61475,1978-05-20,Spring
48,0.004131286,0.0001511363,0.2715861,0.02817367,0.46011,0.3790887,0.07961349,0.5900984,0.5924679,0.002912896,0.03365049,0.3163009,0.0567299,1.50135,1.056915,0.4474574,3.459538,1.346326,0.283832,0.149792,8.520703,12.63733,1978-05-23,Spring
49,0.004126915,0.0001509728,0.272566,0.02824418,0.4706702,0.383586,0.08038513,0.5973053,0.5990006,0.00292949,0.03423702,0.3184387,0.05123901,1.345193,0.9961991,0.4124219,2.280179,0.9455507,0.1835387,0.1553681,8.46599,12.23445,1978-05-26,Spring
50,0.004124046,0.0001508778,0.2733754,0.02830076,0.4789498,0.3877851,0.08081353,0.6010644,0.5983669,0.002944463,0.03449257,0.3198979,0.0461082,1.225433,0.9357026,0.3878512,2.375275,0.9403639,0.1988637,0.1591298,8.388694,11.76009,1978-05-29,Spring
51,0.004122327,0.0001508338,0.2739894,0.02833162,0.4836814,0.3918057,0.08073409,0.5984182,0.5903413,0.00295711,0.03443915,0.3206714,0.03983986,1.077515,0.8509251,0.3564312,1.450857,0.6373807,0.1180236,0.1622953,8.237456,11.13068,1978-06-01,Summer
52,0.004121204,0.0001508112,0.2743084,0.02834008,0.4863832,0.3947112,0.08037113,0.5928736,0.5769937,0.002965921,0.0341412,0.3207568,0.03478822,0.9634447,0.7744114,0.3341773,1.781647,0.7011483,0.1506389,0.1591588,8.084322,10.52566,1978-06-04,Summer
53,0.004120496,0.0001508036,0.2744249,0.02835483,0.4920242,0.3969865,0.08049755,0.5963443,0.5675053,0.002971774,0.03371225,0.3203936,0.03461261,0.9850703,0.774179,0.346674,3.121705,1.116341,0.2693073,0.1540791,8.092527,10.30317,1978-06-07,Summer
54,0.004120457,0.0001508297,0.274547,0.02837802,0.499741,0.3994832,0.08098286,0.6054041,0.5631046,0.002977121,0.03333282,0.3200194,0.03662044,1.051847,0.8085917,0.3690755,3.258132,1.248243,0.2847319,0.1503823,8.170842,10.29985,1978-06-10,Summer
55,0.004121283,0.0001509016,0.274765,0.02841566,0.5100909,0.4024299,0.08190067,0.6211169,0.5648161,0.002983164,0.03306145,0.3198132,0.04069963,1.16684,0.8794985,0.4020271,4.164433,1.565256,0.363087,0.1488944,8.325809,10.51943,1978-06-13,Summer
56,0.004123343,0.0001510407,0.2752043,0.02846695,0.5221419,0.4062447,0.08309948,0.640516,0.5720196,0.002991578,0.03296646,0.3200102,0.04509023,1.276536,0.9587098,0.4319393,4.009406,1.617783,0.3608542,0.1509209,8.498857,10.8334,1978-06-16,Summer
57,0.004126808,0.0001512546,0.2758599,0.02852582,0.5336828,0.4107959,0.08424968,0.657868,0.5805845,0.003002496,0.03300843,0.3204775,0.04781905,1.332073,1.009326,0.4487947,3.625658,1.604113,0.349651,0.1550851,8.620043,11.06094,1978-06-19,Summer
58,0.00413158,0.000151536,0.2766262,0.02856393,0.5409774,0.4159997,0.08480783,0.6647945,0.5840137,0.003014705,0.03299833,0.3207209,0.0456892,1.254507,0.9814003,0.4307037,2.324929,1.252508,0.25692,0.1617395,8.583467,10.92969,1978-06-22,Summer
59,0.004137115,0.000151852,0.2772492,0.02857159,0.5430134,0.4207061,0.08461106,0.6596316,0.5773458,0.003025067,0.03278809,0.3204778,0.04005777,1.098354,0.8917736,0.3936092,1.272832,0.8264773,0.1472761,0.1650302,8.407806,10.45722,1978-06-25,Summer
60,0.004142799,0.0001521685,0.2775781,0.02855548,0.5420592,0.4242805,0.08401136,0.6491147,0.5635118,0.003031495,0.03234932,0.3196557,0.03480582,0.964716,0.7994363,0.3656193,1.329176,0.9035065,0.1760625,0.1635825,8.205941,9.909407,1978-06-28,Summer
61,0.004148282,0.0001524692,0.2776349,0.0285212,0.5405466,0.4270041,0.08340247,0.6396567,0.5481843,0.00303397,0.03171568,0.3182256,0.03195761,0.8987831,0.7402639,0.3591703,1.600858,1.047808,0.2281556,0.1601797,8.05813,9.485657,1978-07-01,Summer
62,0.004153437,0.0001527511,0.2775124,0.02847901,0.5400087,0.4291991,0.083049,0.6344271,0.5355889,0.003033439,0.03099792,0.3164111,0.03238316,0.915019,0.724459,0.381577,2.154115,1.539296,0.3596818,0.1555106,7.998911,9.286548,1978-07-04,Summer
63,0.004158391,0.0001530243,0.2773596,0.02845419,0.5421456,0.4309032,0.08312083,0.6353489,0.5284613,0.003031733,0.03044544,0.3149126,0.03549709,0.9930842,0.7478159,0.4178521,2.805369,1.695247,0.3819045,0.1466064,8.030741,9.34986,1978-07-07,Summer
64,0.0041634,0.0001533046,0.277292,0.02843103,0.5456802,0.4331286,0.08347451,0.6402336,0.5268577,0.003030414,0.02995689,0.3133844,0.03969324,1.090148,0.7915455,0.4567441,2.875309,2.014508,0.4620648,0.1434084,8.100086,9.546173,1978-07-10,Summer
65,0.004168611,0.0001536001,0.277346,0.02841402,0.5489056,0.4355613,0.08380195,0.6430439,0.5269351,0.003030067,0.02964222,0.3122341,0.0424133,1.137066,0.8132553,0.476023,2.403122,1.803055,0.3830051,0.1407438,8.127239,9.693122,1978-07-13,Summer
66,0.004173986,0.0001539067,0.2774438,0.02839239,0.550904,0.4380966,0.08395015,0.6426188,0.5259305,0.003029949,0.02936664,0.3111395,0.04304824,1.133886,0.8108034,0.4768034,2.122161,1.736403,0.3618301,0.1402372,8.102105,9.723711,1978-07-16,Summer
67,0.00417936,0.0001542142,0.2774968,0.0283513,0.5501949,0.4405774,0.08368805,0.6360529,0.5209288,0.003029015,0.0290198,0.3098145,0.04040735,1.053008,0.7695854,0.4497521,1.388916,1.330556,0.2572999,0.1413897,7.98667,9.531502,1978-07-19,Summer
68,0.004184364,0.0001545015,0.2773645,0.02828619,0.5470081,0.4425623,0.08309371,0.6250244,0.5113238,0.0030255,0.02849722,0.3079802,0.03704084,0.964896,0.7147865,0.4268588,1.141987,1.331487,0.2771699,0.142712,7.833584,9.218181,1978-07-22,Summer
69,0.004188649,0.0001547508,0.2769984,0.0281919,0.5412478,0.4439061,0.08212715,0.609437,0.4972653,0.003018608,0.02779046,0.3055485,0.03246145,0.8501116,0.6452293,0.3938309,0.6296466,0.9503279,0.1747824,0.1430397,7.632445,8.774862,1978-07-25,Summer
70,0.004191798,0.0001549404,0.2763193,0.02807235,0.5334808,0.4442299,0.0808874,0.5907623,0.4790882,0.00300725,0.02693472,0.3026162,0.02823311,0.7477695,0.5751837,0.369439,0.5565174,1.021348,0.2142497,0.1412426,7.420732,8.291716,1978-07-28,Summer
71,0.004193592,0.0001550607,0.275378,0.02795161,0.5268829,0.4434665,0.07988833,0.5761266,0.4623451,0.002991948,0.02610146,0.2996587,0.02759914,0.7355081,0.5440171,0.3833832,1.364979,1.541729,0.3648849,0.1346275,7.30838,8.037066,1978-07-31,Summer
72,0.004194146,0.0001551221,0.2743317,0.02783032,0.5219592,0.4424,0.07921983,0.5663521,0.4502748,0.002974606,0.02529938,0.2966384,0.02956061,0.780971,0.5453253,0.4161869,1.568314,1.771298,0.4064807,0.1277318,7.273107,7.990389,1978-08-03,Summer
73,0.004193585,0.0001551334,0.2732608,0.02770897,0.5178259,0.4412437,0.07870482,0.5583907,0.4414912,0.002956297,0.02459051,0.2937514,0.03209071,0.8317361,0.5548674,0.4449745,1.61861,1.856388,0.4093447,0.1214569,7.25504,8.027279,1978-08-06,Summer
74,0.004192004,0.0001551002,0.2721937,0.02758583,0.5139799,0.4401266,0.07825156,0.5509728,0.4349226,0.002937503,0.0239594,0.2909796,0.03431249,0.8698113,0.5637804,0.4638704,1.542561,1.881164,0.4041016,0.1172056,7.232538,8.084891,1978-08-09,Summer
75,0.004189456,0.0001550256,0.2711304,0.02745962,0.5100729,0.439052,0.07780745,0.5433064,0.4296275,0.002918344,0.02338765,0.288307,0.03595025,0.8921652,0.5680814,0.4747223,1.431928,1.891054,0.4016216,0.1147308,7.198535,8.131163,1978-08-12,Summer
76,0.00418597,0.0001549107,0.2700609,0.0273299,0.5059621,0.43799,0.07734988,0.5351455,0.4250015,0.002898787,0.02285569,0.2856893,0.03706818,0.9025432,0.567503,0.4810504,1.31806,1.904377,0.4035955,0.1135504,7.154029,8.155646,1978-08-15,Summer
77,0.00418152,0.0001547538,0.2689507,0.02719263,0.5008342,0.4368052,0.07669413,0.5245239,0.4189024,0.002878499,0.02234524,0.2830966,0.03586445,0.8602396,0.5475464,0.4617721,0.9293849,1.489954,0.2841078,0.1127393,7.058656,8.056399,1978-08-18,Summer
