N,MB,MAE,RMSE,NRMSE,r,R2,MAPE,NSE,WSS,Group,Pass,Season,ObsSummary
12,0.02597837197314747,0.9256808453877355,1.160493866045276,1.160493866045276,0.2854402354568524,0.08147612801766332,118.05846832050915,-0.2554358933143863,0.6010749845126837,Total,ZC,Winter,mean_of_logs
17,0.16541060518598966,0.7675563976641818,0.9765057190687049,0.9765057190687049,0.6577852725220936,0.43268146474696495,172.57797135163494,0.25759949584158714,0.7934883694279647,ZC1-EUP,ZC,Spring,log_of_mean
17,-0.10058785626853348,0.6900328245374187,0.8240676546322275,0.8240676546322275,0.7293192438204241,0.5319065594067952,252.1992815540647,0.4064882948929416,0.8436335444423679,ZC2-AMP,ZC,Spring,log_of_mean
17,0.13438919499112312,0.7598783017432291,0.9984724946487209,0.9984724946487209,0.5810850733852451,0.33765986251113567,114.0555514499445,-0.0856758262070283,0.7476259817401467,ZC3-DEC,ZC,Spring,log_of_mean
17,-0.175861556408771,0.8812227252675995,1.1287920313099793,1.1287920313099793,0.5094972843434598,0.2595874827533603,231.28195357338404,-0.03514196104836298,0.7264102763930983,ZC4-CLG,ZC,Spring,log_of_mean
17,0.11129833844456914,0.687182257394892,0.8596529667425278,0.8596529667425278,0.7502483677648961,0.5628726133338908,101.79100020924929,0.5370744176928333,0.8597251477213695,ZC5-CSM,ZC,Spring,log_of_mean
17,-0.04918461126505212,0.708220166191608,0.8344019379884161,0.8344019379884161,0.7248537244710127,0.5254129218794988,213.44660225995176,0.3825247768058456,0.8460538584167883,Total,ZC,Spring,log_of_mean
17,-0.11559204882263113,0.6823687795728237,0.8363876434612529,0.8363876434612529,0.7286360188382461,0.530910447948449,152.7916427940781,0.32141534658801996,0.8402130746582063,ZC1-EUP,ZC,Spring,mean_of_logs
17,-0.132967423761149,0.78812204365497,0.9138557689986985,0.9138557689986985,0.6627976495890121,0.43930072430071887,377.24513098826634,0.23574844433033604,0.7928959577385506,ZC2-AMP,ZC,Spring,mean_of_logs
17,-0.004490458602408291,0.7284769605912907,0.9200815840613575,0.9200815840613575,0.6279097313125112,0.39427063067694995,663.2180591685526,-0.08046816398816992,0.7662181072464035,ZC3-DEC,ZC,Spring,mean_of_logs
17,-0.23390979574161716,0.7660557104222749,0.992924615990844,0.992924615990844,0.6317473269866785,0.39910468515481323,191.23763127932085,0.1944540537824645,0.7819631670808989,ZC4-CLG,ZC,Spring,mean_of_logs
17,-0.00479596167539344,0.4548301673022645,0.5842531872353143,0.5842531872353143,0.8577422374556779,0.7357217459154726,89.32929971633942,0.6988103951075397,0.9253554835776758,ZC5-CSM,ZC,Spring,mean_of_logs
17,-0.10121491224670272,0.5552646139535454,0.6546408909860534,0.6546408909860534,0.8345321523733673,0.6964439133449252,153.06860782999337,0.603191648404056,0.9054739779431669,Total,ZC,Spring,mean_of_logs
17,0.4984833840120655,1.5997018241676009,2.1940087017966894,2.1940087017966894,-0.754727746705756,0.5696139716475479,312.43097959565097,-2.7782623287548156,0.10221377083571992,ZC1-EUP,ZC,Summer,log_of_mean
17,0.22591233117243473,1.0233858181026583,1.2553324828738774,1.2553324828738774,0.19643166805370738,0.03858540021436188,475.01022262673285,-0.7338781459098525,0.5218259735714892,ZC2-AMP,ZC,Summer,log_of_mean
17,0.8300707377428145,1.7772936693611856,2.661174529689509,2.661174529689509,-0.400028435534775,0.16002274923639964,222.77835459152536,-1.077338682971754,0.21894150996474038,ZC3-DEC,ZC,Summer,log_of_mean
17,-0.01246042036782794,1.5085842406673247,1.8132320982478551,1.8132320982478551,-0.12840787179633678,0.01648858153926446,326.0768596502478,-3.1573297949525383,0.2370826309531634,ZC4-CLG,ZC,Summer,log_of_mean
17,-0.25424255050835093,1.648159979126509,1.9793074188498365,1.9793074188498365,0.028486174524902947,0.0008114621390632297,209.60926191625927,-0.947208463794158,0.42741953210634454,ZC5-CSM,ZC,Summer,log_of_mean
17,0.3718635608701816,1.4005592394101207,2.1058024846017016,2.1058024846017016,-0.3341507155440384,0.11165670069859288,217.71249261437342,-3.112790562656971,0.25045043505759024,Total,ZC,Summer,log_of_mean
17,0.34415315401788477,1.4687855141024764,2.0355446796837824,2.0355446796837824,-0.7127272779443592,0.5079801727259758,454.7110935553535,-3.0225081393629445,0.10078076524931823,ZC1-EUP,ZC,Summer,mean_of_logs
