timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,season,year,month,day_of_year,biweekly,multiplier,model_N_bound_gN_m2,model_N_free_gN_m2,model_N_total_init_used_gN_m2,model_N_bound_init_used_gN_m2,model_N_free_init_used_gN_m2,model_N_free_used_gN_m2
34,0.00555553,0.0002082283,0.3831981,0.0664995,0.5782806,0.6149908,0.1538415,0.8298413,1.292367,0.005364224,0.08216485,0.4305213,0.09325516,1.840956,0.5508266,0.5946049,3.781475,2.0511,0.6335528,0.0001716384,8.687,14.13917,1978-04-11,Fall,1978,4,101,8,1.2,3.4517663054031997,2.3743089745968007,5.82607528,3.3581669354784,2.4679083445216006,2.8491707695161606
35,0.005576658,0.0002079928,0.3851961,0.06673324,0.5802064,0.6115897,0.1570297,0.8439195,1.323556,0.005430132,0.0826771,0.4319176,0.101063,1.957913,0.6361771,0.6052195,4.203102,2.090731,0.6338794,0.0001542814,8.860581,14.70202,1978-04-14,Fall,1978,4,104,8,1.2,3.6202625751391997,2.2058127048608007,5.82607528,3.3581669354784,2.4679083445216006,2.646975245832961
36,0.005599266,0.0002078516,0.3876194,0.06702888,0.5842615,0.6094187,0.1611367,0.8632253,1.364525,0.005502414,0.08365646,0.4340471,0.1082887,2.069893,0.7347813,0.6085908,4.403176,2.086775,0.6248528,0.0001474064,9.044859,15.30244,1978-04-17,Fall,1978,4,107,8,1.2,3.746851909728,2.0792233702720004,5.82607528,3.3581669354784,2.4679083445216006,2.4950680443264006
37,0.005623757,0.0002078213,0.3904345,0.06734932,0.587837,0.6080121,0.1647321,0.8781589,1.404125,0.005581385,0.08502322,0.4367518,0.1095544,2.057678,0.7988101,0.5274773,3.213776,1.694752,0.4498799,0.0001674433,9.140928,15.66637,1978-04-20,Fall,1978,4,110,8,1.1,3.4701699402016004,2.3559053397984,5.82607528,3.3581669354784,2.4679083445216006,2.59149587377824
38,0.005650207,0.0002078958,0.3934228,0.06767523,0.5926268,0.607756,0.1681589,0.8912562,1.438562,0.005664422,0.08632853,0.4397772,0.1073259,2.005356,0.8408819,0.504725,3.536968,1.690379,0.4844929,0.0001900734,9.169601,15.86124,1978-04-23,Fall,1978,4,113,9,1.0,3.5509500726431993,2.275125207356801,5.82607528,3.3581669354784,2.4679083445216006,2.275125207356801
39,0.005679152,0.0002081011,0.3965918,0.06803354,0.6038432,0.6104447,0.1727625,0.9127915,1.477107,0.00575155,0.08744864,0.4433682,0.1063102,2.006302,0.9029924,0.4926895,4.113256,1.750273,0.5082862,0.0002695791,9.241853,16.13811,1978-04-26,Fall,1978,4,116,9,1.0,3.7106036421472,2.1154716378528002,5.82607528,3.3581669354784,2.4679083445216006,2.1154716378528002
40,0.005711307,0.0002084721,0.4000155,0.06843252,0.6184733,0.6149656,0.1777071,0.9382467,1.518137,0.005843867,0.08862317,0.4474801,0.1049029,2.001646,0.9634833,0.4753671,3.951906,1.607371,0.4487591,0.0004358659,9.310771,16.40018,1978-04-29,Fall,1978,4,119,9,0.9,3.6890505987519995,2.137024681248001,5.82607528,3.3581669354784,2.4679083445216006,1.9233222131232008
41,0.005746997,0.0002090192,0.4036585,0.06886537,0.6340027,0.6204415,0.1825303,0.9636294,1.557078,0.005941051,0.0898412,0.4518828,0.1023198,1.976667,1.008142,0.4531711,3.910749,1.537828,0.4281484,0.000756899,9.353873,16.584,1978-05-02,Fall,1978,5,122,9,0.9,3.6955631903711996,2.130512089628801,5.82607528,3.3581669354784,2.4679083445216006,1.9174608806659208
42,0.005786499,0.0002097509,0.4074977,0.0693287,0.6522078,0.6277223,0.1873872,0.9913934,1.594553,0.00604277,0.09096444,0.4566455,0.09962534,1.954225,1.046922,0.4335003,4.020485,1.521065,0.4240545,0.001500755,9.392823,16.7399,1978-05-05,Fall,1978,5,125,9,0.9,3.7398295840624,2.0862456959376003,5.82607528,3.3581669354784,2.4679083445216006,1.8776211263438403
43,0.005830207,0.000210682,0.4115421,0.06983163,0.6731339,0.6368588,0.1924144,1.022488,1.631508,0.006149,0.0919026,0.4617586,0.09723891,1.944034,1.085338,0.4184591,4.160477,1.522705,0.4236274,0.003369134,9.439209,16.89443,1978-05-08,Fall,1978,5,128,10,0.9,3.7977723574880002,2.028302922512,5.82607528,3.3581669354784,2.4679083445216006,1.8254726302608002
44,0.005878593,0.0002118333,0.4158483,0.07040006,0.6976991,0.6475965,0.1983098,1.06212,1.673902,0.006260411,0.09279864,0.4672977,0.09758975,1.997519,1.148344,0.4198238,4.927691,1.727398,0.4940136,0.008166116,9.546293,17.16572,1978-05-11,Fall,1978,5,131,10,1.0,4.0455612037807995,1.7805140762192009,5.82607528,3.3581669354784,2.4679083445216006,1.7805140762192009
45,0.005932487,0.0002132464,0.4205718,0.07105172,0.7276801,0.661786,0.2052909,1.113603,1.72673,0.006379198,0.09358782,0.4737685,0.09940387,2.086871,1.235169,0.4314933,5.266807,1.816573,0.5094779,0.02251294,9.710523,17.52187,1978-05-14,Fall,1978,5,134,10,1.0,4.214113789526399,1.6119614904736013,5.82607528,3.3581669354784,2.4679083445216006,1.6119614904736013
46,0.005992793,0.0002149649,0.4258323,0.07181341,0.7618387,0.6778945,0.2135518,1.175806,1.791666,0.006507335,0.0947312,0.481025,0.1035697,2.215147,1.341714,0.4571589,5.922705,2.010787,0.5657281,0.0555182,9.947989,17.89555,1978-05-17,Fall,1978,5,137,10,1.1,4.4874280349104,1.3386472450896,5.82607528,3.3581669354784,2.4679083445216006,1.4725119695985602
47,0.006060531,0.0002170387,0.4317645,0.07269178,0.800045,0.6972445,0.2228976,1.247979,1.868749,0.006647184,0.09612659,0.4894513,0.1078654,2.339525,1.451394,0.4924005,6.040683,2.059996,0.5674254,0.1116406,10.24385,18.14412,1978-05-20,Fall,1978,5,140,10,1.1,4.6335898905712,1.1924853894288008,5.82607528,3.3581669354784,2.4679083445216006,1.311733928371681
48,0.006136334,0.000219493,0.4383473,0.07366082,0.8360877,0.7154762,0.2317704,1.309324,1.940483,0.006799173,0.09836376,0.4981515,0.108835,2.351394,1.488964,0.5127048,5.062092,1.787251,0.4724059,0.155094,10.47406,18.06989,1978-05-23,Fall,1978,5,143,11,1.0,4.44935892688,1.3767163531200008,5.82607528,3.3581669354784,2.4679083445216006,1.3767163531200008
49,0.006220086,0.0002223079,0.4452672,0.07463562,0.8675771,0.7365179,0.2385311,1.35349,1.989546,0.006958877,0.09997309,0.5071971,0.1016265,2.211562,1.437624,0.5037584,4.013226,1.455353,0.3682591,0.1915959,10.56685,17.54188,1978-05-26,Fall,1978,5,146,11,0.9,4.1511404654384005,1.6749348145615999,5.82607528,3.3581669354784,2.4679083445216006,1.50744133310544
50,0.006311291,0.0002254462,0.4521696,0.07559849,0.8943626,0.7582845,0.243678,1.385505,2.013807,0.007119857,0.1007379,0.5156587,0.09261585,2.056045,1.359545,0.4930964,3.856501,1.38895,0.3603358,0.2130805,10.59818,16.84317,1978-05-29,Fall,1978,5,149,11,0.9,4.0431804164192,1.7828948635808004,5.82607528,3.3581669354784,2.4679083445216006,1.6046053772227205
51,0.006409351,0.0002288737,0.4588688,0.07649727,0.9146401,0.7811841,0.2468434,1.40256,2.011915,0.007277602,0.1004163,0.5234329,0.08144234,1.861153,1.251938,0.4718403,3.035464,1.128574,0.2797851,0.2256389,10.54698,15.98273,1978-06-01,Fall,1978,6,152,11,0.8,3.7352263432592,2.0908489367408003,5.82607528,3.3581669354784,2.4679083445216006,1.6726791493926403
52,0.006513258,0.0002325338,0.4651367,0.07735748,0.9305813,0.8013867,0.2485657,1.408595,1.987055,0.007427152,0.09949177,0.5296847,0.07210182,1.698385,1.14897,0.455222,3.077063,1.110009,0.2855259,0.2232727,10.46412,15.15656,1978-06-04,Fall,1978,6,155,12,0.8,3.6362927016288,2.1897825783712004,5.82607528,3.3581669354784,2.4679083445216006,1.7518260626969604
53,0.006622418,0.0002363989,0.4710213,0.07820521,0.9476076,0.8201271,0.2509021,1.423574,1.9609,0.007568038,0.09805184,0.5348741,0.0686672,1.668752,1.115362,0.4662552,4.217976,1.435339,0.3985599,0.2159485,10.47383,14.67556,1978-06-07,Fall,1978,6,158,12,0.9,3.8761219832624003,1.9499532967376,5.82607528,3.3581669354784,2.4679083445216006,1.7549579670638402
54,0.006737017,0.0002404886,0.476775,0.0790296,0.9659571,0.8397245,0.2540934,1.447901,1.942564,0.007703283,0.0963022,0.5398898,0.06875748,1.707677,1.12725,0.4901473,4.423347,1.59255,0.4285796,0.210185,10.54392,14.46146,1978-06-10,Fall,1978,6,161,12,0.9,3.9524544952736,1.8736207847264006,5.82607528,3.3581669354784,2.4679083445216006,1.6862587062537606
55,0.006857337,0.0002448242,0.4825537,0.07984264,0.9868009,0.8607063,0.2585373,1.484753,1.937348,0.007834964,0.09446604,0.5450765,0.07212435,1.814474,1.185167,0.5267907,5.369363,1.903334,0.5201896,0.2065661,10.68322,14.51924,1978-06-13,Fall,1978,6,164,12,1.0,4.2447201249152,1.5813551550848004,5.82607528,3.3581669354784,2.4679083445216006,1.5813551550848004
56,0.006984079,0.0002494499,0.4885813,0.08063799,1.009216,0.8843004,0.26393,1.529864,1.946061,0.007966524,0.09269658,0.5509769,0.07643165,1.929527,1.25982,0.5626518,5.308328,2.009772,0.5367742,0.2069389,10.84642,14.72356,1978-06-16,Fall,1978,6,167,12,1.0,4.3309497680304005,1.4951255119695999,5.82607528,3.3581669354784,2.4679083445216006,1.4951255119695999
57,0.007117649,0.0002543879,0.4948833,0.08141246,1.030019,0.9100586,0.2691498,1.570484,1.957684,0.008098601,0.09103116,0.5575188,0.07884309,1.98895,1.306086,0.5857944,4.904254,2.040119,0.5361109,0.2096478,10.9643,14.86968,1978-06-19,Fall,1978,6,170,13,1.0,4.319320582830399,1.506754697169601,5.82607528,3.3581669354784,2.4679083445216006,1.506754697169601
58,0.007257883,0.0002596266,0.501285,0.08204518,1.043265,0.9384559,0.2724061,1.589216,1.954905,0.008228296,0.08892687,0.5644994,0.07549778,1.916687,1.274127,0.5805065,3.480857,1.809815,0.4586196,0.2166965,10.95019,14.68738,1978-06-22,Fall,1978,6,173,13,0.9,3.9961025678656004,1.8299727121344,5.82607528,3.3581669354784,2.4679083445216006,1.64697544092096
59,0.007403606,0.0002650974,0.5073673,0.08257439,1.047209,0.9656572,0.2728171,1.578096,1.922802,0.008348453,0.08640724,0.570486,0.06720686,1.733155,1.166498,0.549146,2.41026,1.475896,0.3574696,0.2191897,10.79112,14.13194,1978-06-25,Fall,1978,6,176,13,0.8,3.6342086001664002,2.1918666798336,5.82607528,3.3581669354784,2.4679083445216006,1.7534933438668803
60,0.007553229,0.0002707133,0.512799,0.08304428,1.045176,0.9892061,0.271398,1.55067,1.867401,0.008453171,0.08351689,0.5746358,0.05908038,1.558519,1.050243,0.5211194,2.202806,1.456876,0.3402375,0.2155603,10.58632,13.47083,1978-06-28,Fall,1978,6,179,13,0.8,3.4771056743408,2.3489696056592004,5.82607528,3.3581669354784,2.4679083445216006,1.8791756845273604
61,0.007705469,0.0002764117,0.5175115,0.08340661,1.040056,1.009928,0.269308,1.520102,1.80254,0.008540482,0.0801373,0.5772721,0.05345741,1.448625,0.9656931,0.5110342,2.395731,1.535663,0.386157,0.2103124,10.40919,12.9028,1978-07-01,Fall,1978,7,182,13,0.8,3.4417244289552,2.3843508510448004,5.82607528,3.3581669354784,2.4679083445216006,1.9074806808358404
