rank,run_tag,scenario,C09_Bias,sat_Bias,C09_MAE,sat_MAE,C09_MSE,sat_MSE,C09_Model StdDev,sat_Model StdDev,C09_Obs StdDev,sat_Obs StdDev,C09_R,sat_R,C09_RMSE,sat_RMSE,C09_Willmott Skill,sat_Willmott Skill,C09_Categorical Agreement_Count,C09_Timing Window Overlap_Count,sat_Categorical Agreement_Count,sat_Timing Window Overlap_Count,C09_Categorical Agreement_Proportion,C09_Timing Window Overlap_Proportion,sat_Categorical Agreement_Proportion,sat_Timing Window Overlap_Proportion,C09_Categorical Agreement_Total,C09_Timing Window Overlap_Total,sat_Categorical Agreement_Total,sat_Timing Window Overlap_Total,region,vars,avg_method,log_transform,mean_or_median,exclude_dec_jan,status,score
81,bt_SGC2_PP123_all_log_mean_exdj1,SC203,-2.58974358974359,-17.714285714285715,11.307692307692308,19.0,233.8717948717949,731.8571428571429,13.61647105617563,16.955674506170013,11.695905879096149,18.926954108802995,0.2983777695827891,0.3547048810624093,15.292867450932636,27.052858312147773,0.5461040659604741,0.5610341692022522,17,14,8,5,0.4358974358974359,0.358974358974359,0.5714285714285714,0.3571428571428571,39,39,14,14,SGC2,PP1-DIA;PP2-NAN;PP3-PIC,all,1,mean,1,ok,21.172862881540205
82,bt_SGC2_PP123_all_log_mean_exdj0,SC203,-2.58974358974359,-18.142857142857142,11.307692307692308,19.0,233.8717948717949,732.7142857142857,13.61647105617563,16.46099285323597,11.695905879096149,18.926954108802995,0.2983777695827891,0.3621219406093174,15.292867450932636,27.068695678112856,0.5461040659604741,0.5597602268805846,17,14,8,5,0.4358974358974359,0.358974358974359,0.5714285714285714,0.3571428571428571,39,39,14,14,SGC2,PP1-DIA;PP2-NAN;PP3-PIC,all,1,mean,0,ok,21.180781564522746
83,bt_SGC3_PP123_all_log_mean_exdj1,SC203,-2.58974358974359,-17.714285714285715,11.307692307692308,19.428571428571427,233.8717948717949,735.2857142857143,13.61647105617563,17.106658209657457,11.695905879096149,18.926954108802995,0.2983777695827891,0.3542215740273912,15.292867450932636,27.116152276562293,0.5461040659604741,0.5608644703186568,17,14,8,4,0.4358974358974359,0.358974358974359,0.5714285714285714,0.2857142857142857,39,39,14,14,SGC3,PP1-DIA;PP2-NAN;PP3-PIC,all,1,mean,1,ok,21.204509863747464
84,bt_SGC3_PP123_all_log_mean_exdj0,SC203,-2.58974358974359,-17.714285714285715,11.307692307692308,19.428571428571427,233.8717948717949,735.2857142857143,13.61647105617563,17.106658209657457,11.695905879096149,18.926954108802995,0.2983777695827891,0.3542215740273912,15.292867450932636,27.116152276562293,0.5461040659604741,0.5608644703186568,17,14,8,4,0.4358974358974359,0.358974358974359,0.5714285714285714,0.2857142857142857,39,39,14,14,SGC3,PP1-DIA;PP2-NAN;PP3-PIC,all,1,mean,0,ok,21.204509863747464
85,bt_SGC3_PP1_all_log_mean_exdj1,SC203,-2.58974358974359,-18.357142857142858,11.307692307692308,19.642857142857142,233.8717948717949,742.3571428571429,13.61647105617563,16.883756231650466,11.695905879096149,18.926954108802995,0.2983777695827891,0.3722615428908072,15.292867450932636,27.246231718480683,0.5461040659604741,0.5595321807376576,17,14,8,4,0.4358974358974359,0.358974358974359,0.5714285714285714,0.2857142857142857,39,39,14,14,SGC3,PP1-DIA,all,1,mean,1,ok,21.26954958470666
86,bt_SGC3_PP1_all_log_mean_exdj0,SC203,-2.58974358974359,-18.785714285714285,11.307692307692308,19.642857142857142,233.8717948717949,743.2142857142857,13.61647105617563,16.37008221838653,11.695905879096149,18.926954108802995,0.2983777695827891,0.3806822243637243,15.292867450932636,27.26195674771504,0.5461040659604741,0.558269414546365,17,14,8,4,0.4358974358974359,0.358974358974359,0.5714285714285714,0.2857142857142857,39,39,14,14,SGC3,PP1-DIA,all,1,mean,0,ok,21.27741209932384
87,bt_SGC2_PP1_all_log_mean_exdj0,SC203,-2.58974358974359,-19.214285714285715,11.307692307692308,20.071428571428573,233.8717948717949,762.5,13.61647105617563,16.189565800734947,11.695905879096149,18.926954108802995,0.2983777695827891,0.3704409370662768,15.292867450932636,27.613402542968156,0.5461040659604741,0.5481387801150828,17,14,7,4,0.4358974358974359,0.358974358974359,0.5,0.2857142857142857,39,39,14,14,SGC2,PP1-DIA,all,1,mean,0,ok,21.453134996950396
88,bt_SGC4_PP1_all_log_mean_exdj1,SC203,-2.58974358974359,-19.428571428571427,11.307692307692308,21.142857142857142,233.8717948717949,763.1428571428571,13.61647105617563,17.728824678748335,11.695905879096149,18.926954108802995,0.2983777695827891,0.4274550446857663,15.292867450932636,27.62504040074615,0.5461040659604741,0.5779328937842338,17,14,7,2,0.4358974358974359,0.358974358974359,0.5,0.1428571428571428,39,39,14,14,SGC4,PP1-DIA,all,1,mean,1,ok,21.458953925839396
89,bt_SGC4_PP123_ann_log_mean_exdj0,SC203,-2.58974358974359,-20.714285714285715,11.307692307692308,22.428571428571427,233.8717948717949,768.7142857142857,13.61647105617563,15.153803321346125,11.695905879096149,18.926954108802995,0.2983777695827891,0.4327430566398157,15.292867450932636,27.725697208804068,0.5461040659604741,0.5698665646536218,17,14,6,1,0.4358974358974359,0.358974358974359,0.4285714285714285,0.0714285714285714,39,39,14,14,SGC4,PP1-DIA;PP2-NAN;PP3-PIC,annual,1,mean,0,ok,21.509282329868352
90,bt_SGC4_PP1_ann_log_mean_exdj0,SC203,-2.58974358974359,-21.142857142857142,11.307692307692308,22.857142857142858,233.8717948717949,773.0,13.61647105617563,14.90325947090578,11.695905879096149,18.926954108802995,0.2983777695827891,0.4508706346424888,15.292867450932636,27.80287754891569,0.5461040659604741,0.568503255278792,17,14,5,1,0.4358974358974359,0.358974358974359,0.3571428571428571,0.0714285714285714,39,39,14,14,SGC4,PP1-DIA,annual,1,mean,0,ok,21.54787249992416
91,bt_SGC4_PP123_all_log_mean_exdj0,SC203,-2.58974358974359,-20.071428571428573,11.307692307692308,21.357142857142858,233.8717948717949,789.0714285714286,13.61647105617563,17.70679565152594,11.695905879096149,18.926954108802995,0.2983777695827891,0.426022970675037,15.292867450932636,28.09041524384125,0.5461040659604741,0.5746609997021936,17,14,7,2,0.4358974358974359,0.358974358974359,0.5,0.1428571428571428,39,39,14,14,SGC4,PP1-DIA;PP2-NAN;PP3-PIC,all,1,mean,0,ok,21.69164134738694
