Title,YEAR,TIMESTEP,CHIN_H_MT_KM2,COHO_H_MT_KM2,CHUM_H_MT_KM2,SOCKEYE_H_MT_KM2,PINK_H_MT_KM2,CHIN_H_N,COHO_H_N,CHUM_H_N,SOCKEYE_H_N,PINK_H_N
Weight,1,1,1,1,1,1,1,1,1,1,1,1
Type,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Timestep,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval
135,1961.0,136.0,0.0,0.0,1.4166666666666668e-05,0.0,0.0,0.0,0.0,4550000.0,2109000.0,0.0
136,1961.0,137.0,0.0,0.0,1.4166666666666668e-05,0.0,0.0,0.0,0.0,4550000.0,2109000.0,0.0
137,1961.0,138.0,0.0,0.0,1.4166666666666668e-05,0.0,0.0,0.0,0.0,4550000.0,2109000.0,0.0
138,1961.0,139.0,0.0,0.0,1.4166666666666668e-05,0.0,0.0,0.0,0.0,4550000.0,2109000.0,0.0
139,1961.0,140.0,0.0,0.0,1.4166666666666668e-05,0.0,0.0,0.0,0.0,4550000.0,2109000.0,0.0
140,1961.0,141.0,0.0,0.0,1.4166666666666668e-05,0.0,0.0,0.0,0.0,4550000.0,2109000.0,0.0
141,1961.0,142.0,0.0,0.0,1.4166666666666668e-05,0.0,0.0,0.0,0.0,4550000.0,2109000.0,0.0
142,1961.0,143.0,0.0,0.0,1.4166666666666668e-05,0.0,0.0,0.0,0.0,4550000.0,2109000.0,0.0
143,1962.0,144.0,0.0,0.0,1.5e-05,0.0,1.0833333333333335e-05,0.0,0.0,4538600.0,4006000.0,4647200.0
144,1962.0,145.0,0.0,0.0,1.5e-05,0.0,1.0833333333333335e-05,0.0,0.0,4538600.0,4006000.0,4647200.0
145,1962.0,146.0,0.0,0.0,1.5e-05,0.0,1.0833333333333335e-05,0.0,0.0,4538600.0,4006000.0,4647200.0
146,1962.0,147.0,0.0,0.0,1.5e-05,0.0,1.0833333333333335e-05,0.0,0.0,4538600.0,4006000.0,4647200.0
147,1962.0,148.0,0.0,0.0,1.5e-05,0.0,1.0833333333333335e-05,0.0,0.0,4538600.0,4006000.0,4647200.0
148,1962.0,149.0,0.0,0.0,1.5e-05,0.0,1.0833333333333335e-05,0.0,0.0,4538600.0,4006000.0,4647200.0
149,1962.0,150.0,0.0,0.0,1.5e-05,0.0,1.0833333333333335e-05,0.0,0.0,4538600.0,4006000.0,4647200.0
150,1962.0,151.0,0.0,0.0,1.5e-05,0.0,1.0833333333333335e-05,0.0,0.0,4538600.0,4006000.0,4647200.0
151,1962.0,152.0,0.0,0.0,1.5e-05,0.0,1.0833333333333335e-05,0.0,0.0,4538600.0,4006000.0,4647200.0
