,YEAR_,TIMESTEP_,CHIN_H_MT_,COHO_H_MT_,CHUM_H_MT_,SOCKEYE_H_MT_,PINK_H_MT_,CHIN_H_N_,COHO_H_N_,CHUM_H_N_,SOCKEYE_H_N_,PINK_H_N_
233,1969.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,1969.0,235.0,0.00011,0.0,0.00034,0.0,0.0,192999.0,0.0,2013800.0,0.0,0.0
235,1969.0,236.0,0.00023,0.0,0.0,0.0,0.0,408503.0,0.0,0.0,0.0,0.0
236,1969.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,1969.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,1969.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,1970.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,1970.0,241.0,0.0,0.0,0.00012,0.00045,0.00036,0.0,0.0,3230000.0,46013000.0,13439500.0
241,1970.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,1970.0,243.0,1e-05,0.0,0.0,0.0,0.0,1646.0,0.0,0.0,0.0,0.0
243,1970.0,244.0,1e-05,0.00057,0.00191,1e-05,1e-05,816.0,315972.0,61419400.0,374000.0,145700.0
244,1970.0,245.0,0.0,0.00013,0.0,0.0,0.0,0.0,69118.0,0.0,0.0,0.0
245,1970.0,246.0,0.0,0.0,0.00042,0.0,0.0,0.0,0.0,1601100.0,0.0,0.0
246,1970.0,247.0,4e-05,0.0,0.0,0.0,0.0,67326.0,0.0,0.0,0.0,0.0
247,1970.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,1970.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,1970.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,1970.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,1971.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,1971.0,253.0,0.0,0.0,5e-05,0.00013,0.0,0.0,0.0,1240000.0,14182000.0,0.0
253,1971.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,1971.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,1971.0,256.0,3e-05,0.00017,2e-05,1e-05,0.0,52072.0,93694.0,323026.0,25000.0,0.0
256,1971.0,257.0,0.00015,0.00098,0.0015,0.0,0.0,264925.0,550979.0,48070000.0,0.0,0.0
257,1971.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,1971.0,259.0,9e-05,0.0,0.0,0.0,0.0,147260.0,0.0,0.0,0.0,0.0
259,1971.0,260.0,7e-05,1e-05,0.0,0.0,0.0,111209.0,4574.0,0.0,0.0,0.0
260,1971.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
